image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
bsd100_0_0,24.0386,0.5624,4.2122,0.1972,0.1338,0.6944,860.9528,0.6102,0.2969,60.9468
bsd100_1_1,23.7181,0.6425,4.4914,0.1901,0.1237,0.6876,924.7075,0.5540,0.2602,59.7267
bsd100_2_2,26.5694,0.7386,4.2828,0.1700,0.1020,0.8009,753.5696,0.6292,0.3705,69.4905
bsd100_3_3,29.8018,0.7632,5.5914,0.1809,0.1446,0.7848,164.6068,0.4495,0.2309,55.3302
bsd100_4_4,24.4116,0.6420,5.6169,0.2027,0.1654,0.7376,634.0521,0.6582,0.3872,68.7616
bsd100_5_5,26.9256,0.7758,3.7021,0.1888,0.1318,0.6845,319.6128,0.5631,0.2783,57.9386
bsd100_6_6,23.8489,0.7419,4.4067,0.1721,0.1495,0.7401,1499.3117,0.6313,0.3859,68.4740
bsd100_7_7,31.0554,0.8035,3.9583,0.1853,0.1301,0.7106,103.2862,0.6037,0.3354,64.8584
bsd100_8_8,24.7715,0.5633,4.1322,0.2137,0.1213,0.6650,476.4298,0.6794,0.2927,70.0530
bsd100_9_9,32.0487,0.9467,6.0098,0.0331,0.0923,0.8168,644.0562,0.7598,0.4681,68.4249
bsd100_10_10,26.6077,0.7091,4.5689,0.1659,0.1201,0.7511,409.0036,0.7066,0.4311,71.9085
bsd100_11_11,18.9493,0.4796,5.9391,0.2880,0.1450,0.6912,2303.2322,0.6891,0.3533,71.3644
bsd100_12_12,26.3964,0.7255,4.2444,0.1812,0.1146,0.7766,505.0116,0.5690,0.2789,59.4475
bsd100_13_13,22.1215,0.6116,4.1489,0.2113,0.1022,0.5906,1398.5407,0.5890,0.2708,68.8787
bsd100_14_14,24.8190,0.6709,3.9619,0.1672,0.1039,0.7410,981.9853,0.6564,0.3366,65.2855
bsd100_15_15,30.0293,0.8300,3.8801,0.1588,0.1305,0.6174,147.0197,0.6643,0.3602,65.0293
bsd100_16_16,24.1761,0.5418,4.7842,0.3360,0.1775,0.5766,434.0824,0.3774,0.2875,53.5619
bsd100_17_17,25.4585,0.6697,3.9499,0.1794,0.1032,0.7082,477.8843,0.6959,0.3374,70.3555
bsd100_18_18,36.6364,0.9626,6.9582,0.0249,0.0538,0.9372,319.7536,0.7395,0.5872,71.3886
bsd100_19_19,26.9770,0.8108,4.0391,0.1441,0.1331,0.6043,492.9565,0.5676,0.2843,58.2325
bsd100_20_20,31.4042,0.8190,5.3900,0.1282,0.1192,0.7854,144.2859,0.6460,0.3557,56.6167
bsd100_21_21,33.8391,0.8832,4.8795,0.0786,0.0831,0.8739,127.4372,0.6728,0.4357,64.9918
bsd100_22_22,30.8575,0.7607,5.3320,0.1446,0.1336,0.7477,139.1772,0.4786,0.2835,53.5885
bsd100_23_23,32.1874,0.8840,4.6043,0.0750,0.1130,0.7688,144.8769,0.6333,0.4019,60.8278
bsd100_24_24,27.5910,0.7229,4.0548,0.1625,0.1102,0.7049,356.2966,0.6662,0.4274,71.6596
bsd100_25_25,33.0051,0.8845,4.9787,0.0870,0.0797,0.8303,131.0575,0.6932,0.4036,60.1125
bsd100_26_26,23.9728,0.7617,4.4120,0.1504,0.1232,0.7442,759.5619,0.6914,0.3413,72.7458
bsd100_27_27,33.4441,0.8574,5.7238,0.1123,0.1037,0.7624,104.4162,0.5858,0.4377,73.4939
bsd100_28_28,28.6798,0.7923,4.5738,0.1055,0.0896,0.7525,456.2039,0.6089,0.3273,65.5038
bsd100_29_29,23.8370,0.6305,4.6799,0.2187,0.1464,0.7448,1005.4629,0.5170,0.2585,50.6691
bsd100_30_30,30.9614,0.8244,6.1063,0.1285,0.1009,0.8460,351.6769,0.5386,0.4538,75.0904
bsd100_31_31,28.9464,0.7854,4.7760,0.1531,0.1108,0.7011,207.8560,0.7623,0.3328,60.1010
bsd100_32_32,24.2748,0.6003,3.8290,0.2395,0.1371,0.6458,599.6123,0.6098,0.2490,63.9726
bsd100_33_33,24.9495,0.7862,4.4174,0.1250,0.0938,0.8169,1083.7125,0.5987,0.3958,59.9675
bsd100_34_34,27.9088,0.8742,4.2076,0.0931,0.0784,0.6867,448.4011,0.6039,0.2277,60.7166
bsd100_35_35,25.0146,0.5815,4.7611,0.2212,0.1776,0.7413,708.9907,0.6232,0.3242,66.9240
