image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
manga109_0_0,33.4067,0.9497,4.4833,0.0192,0.0315,0.9344,799.9727,0.6691,0.4498,74.6677
manga109_1_1,28.4981,0.9434,5.8089,0.0424,0.0501,0.8738,2107.7642,0.6784,0.5078,62.0502
manga109_2_2,35.0953,0.9765,5.2259,0.0181,0.0237,0.9196,405.9083,0.5652,0.3301,57.8554
manga109_3_3,31.0411,0.8441,3.6647,0.0584,0.0360,0.8563,408.3995,0.5734,0.3414,66.1744
manga109_4_4,20.4838,0.7424,3.2253,0.0652,0.0487,0.8419,6756.4984,0.5836,0.4546,67.0648
manga109_5_5,36.5745,0.9787,6.5455,0.0093,0.0287,0.9379,367.4295,0.6130,0.4010,73.3554
manga109_6_6,35.4234,0.9376,4.6357,0.0526,0.0349,0.8570,136.3868,0.6054,0.3639,59.4965
manga109_7_7,36.0468,0.9688,5.8546,0.0325,0.0382,0.9230,370.8297,0.5946,0.4432,65.8313
manga109_8_8,29.7082,0.7702,2.5287,0.0624,0.0315,0.8605,425.9355,0.5720,0.3082,55.5026
manga109_9_9,29.1565,0.9097,4.2079,0.0261,0.0316,0.9367,1788.8308,0.6842,0.5018,70.7553
manga109_10_10,27.5158,0.8549,3.7598,0.0509,0.0290,0.9007,1671.9608,0.6718,0.3835,62.5437
manga109_11_11,32.1570,0.9522,4.7548,0.0227,0.0275,0.9407,1041.4502,0.6131,0.4733,74.5708
manga109_12_12,32.1773,0.8651,3.7144,0.0326,0.0243,0.9445,1169.0415,0.6325,0.4235,71.9742
manga109_13_13,20.2973,0.7619,3.7094,0.1086,0.0488,0.7860,5725.6012,0.6306,0.4736,74.3030
manga109_14_14,32.7981,0.9281,4.1475,0.0260,0.0279,0.9034,698.8815,0.5933,0.4555,75.5077
manga109_15_15,28.2171,0.8707,3.7824,0.0812,0.0564,0.8523,1171.7970,0.5741,0.3843,66.3988
manga109_16_16,35.9414,0.9326,4.1882,0.0268,0.0282,0.9337,331.9802,0.5716,0.3701,66.6361
manga109_17_17,31.0172,0.8887,5.0943,0.0745,0.0469,0.8565,327.8194,0.5798,0.3145,67.1410
manga109_18_18,31.9470,0.9445,3.9513,0.0251,0.0270,0.8541,748.3478,0.5779,0.4119,70.3669
manga109_19_19,26.1352,0.9185,6.8607,0.0411,0.0504,0.8888,2096.5245,0.5272,0.5150,50.6505
manga109_20_20,23.4024,0.8087,3.5706,0.0959,0.0418,0.6909,3081.3853,0.7011,0.5508,76.6479
manga109_21_21,37.8442,0.9696,9.2076,0.0143,0.0314,0.9495,198.2976,0.6070,0.3644,58.4025
manga109_22_22,32.6895,0.8930,3.3889,0.0506,0.0372,0.9101,379.8143,0.5357,0.3579,59.9891
manga109_23_23,34.4333,0.9632,4.6475,0.0142,0.0199,0.9242,521.2887,0.6867,0.3909,70.1505
manga109_24_24,32.6800,0.9517,4.2379,0.0190,0.0256,0.9404,999.4423,0.6448,0.3880,59.4226
manga109_25_25,27.2324,0.6725,2.9141,0.0665,0.0344,0.8544,1305.4814,0.6707,0.4457,74.1218
manga109_26_26,31.1272,0.8451,3.7690,0.0537,0.0569,0.9031,886.2984,0.5984,0.4311,62.4956
manga109_27_27,31.7954,0.9329,4.3941,0.0365,0.0249,0.9272,836.7800,0.5581,0.3704,62.4964
manga109_28_28,30.6022,0.9099,4.3934,0.0350,0.0277,0.9009,926.5165,0.5819,0.4278,61.7841
manga109_29_29,32.0804,0.8538,4.0496,0.0893,0.0466,0.8610,229.7452,0.5548,0.3205,61.2384
manga109_30_30,27.4814,0.9549,4.1331,0.0244,0.0401,0.9152,3117.9378,0.6627,0.5303,72.6163
manga109_31_31,33.6253,0.9412,4.5826,0.0339,0.0324,0.9161,444.8256,0.6197,0.3691,67.4564
manga109_32_32,31.1728,0.9381,3.9481,0.0386,0.0271,0.8969,690.9671,0.6183,0.3488,65.3598
manga109_33_33,30.3423,0.8768,3.8316,0.0451,0.0296,0.8622,770.6566,0.6791,0.4203,72.2792
manga109_34_34,32.2478,0.9021,3.8360,0.0423,0.0284,0.9042,563.5269,0.6225,0.3760,60.0434
manga109_35_35,29.7645,0.9243,4.1140,0.0374,0.0277,0.9158,1085.4154,0.6141,0.3737,72.6634
manga109_36_36,35.2167,0.9572,5.4085,0.0232,0.0311,0.9264,351.2743,0.5471,0.3941,65.0248
manga109_37_37,26.5209,0.8680,4.0331,0.0602,0.0356,0.8414,1092.7734,0.6120,0.3796,60.3675
manga109_38_38,30.8572,0.9145,3.9784,0.0362,0.0254,0.9131,774.5082,0.6468,0.3917,66.5545
manga109_39_39,34.2638,0.9796,4.5149,0.0108,0.0323,0.9260,642.9827,0.6120,0.4180,66.9987
manga109_40_40,34.1616,0.9512,5.3404,0.0241,0.0287,0.9293,342.0904,0.5958,0.4165,67.9878
manga109_41_41,28.6981,0.9162,4.5959,0.0392,0.0356,0.9120,1010.5703,0.5664,0.3444,71.5809
manga109_42_42,36.3126,0.9696,4.8176,0.0158,0.0285,0.9433,504.4322,0.5214,0.3651,69.1808
manga109_43_43,25.1547,0.9193,5.2328,0.0487,0.0689,0.7665,1780.4386,0.6577,0.4087,64.0491
manga109_44_44,28.8048,0.8003,3.2275,0.0990,0.0656,0.8498,1320.2227,0.6222,0.3735,62.8845
manga109_45_45,32.8188,0.9362,4.3908,0.0218,0.0241,0.9363,774.2637,0.6271,0.4292,73.6179
manga109_46_46,33.2842,0.9151,4.0682,0.0397,0.0299,0.9011,508.4514,0.5607,0.4001,61.4403
manga109_47_47,24.0559,0.8970,4.0107,0.0295,0.0324,0.9252,4390.1148,0.6575,0.5005,73.2729
manga109_48_48,33.9069,0.9145,4.5300,0.0455,0.0311,0.8683,267.3120,0.6174,0.3340,57.0569
manga109_49_49,31.9607,0.9377,4.1204,0.0232,0.0304,0.9293,600.1234,0.6873,0.4342,75.3128
manga109_50_50,32.4605,0.9337,3.9398,0.0574,0.0378,0.8691,306.9712,0.6030,0.3312,59.3690
manga109_51_51,28.2764,0.8615,3.1455,0.0471,0.0366,0.8967,1213.3754,0.6567,0.3998,69.2426
manga109_52_52,28.1905,0.9520,5.4685,0.0238,0.0275,0.9308,2050.7711,0.6197,0.4490,68.8137
manga109_53_53,34.8710,0.9731,7.9570,0.0078,0.0247,0.9472,1607.9010,0.7100,0.5911,75.7654
manga109_54_54,31.8785,0.8974,3.8710,0.0474,0.0316,0.9064,461.1608,0.5638,0.3392,59.8166
manga109_55_55,33.7811,0.9675,5.4156,0.0431,0.0304,0.8891,589.0419,0.6265,0.3803,64.3790
manga109_56_56,26.3160,0.7793,4.0540,0.1061,0.0603,0.6833,1089.7814,0.5790,0.4124,70.1485
manga109_57_57,26.8436,0.7476,3.4318,0.0712,0.0450,0.8701,1596.1105,0.6543,0.4402,71.6500
manga109_58_58,33.3683,0.9186,6.5334,0.0229,0.0272,0.9164,521.8216,0.6629,0.4353,64.4760
manga109_59_59,34.6684,0.9450,4.4298,0.0216,0.0423,0.9142,447.3812,0.5424,0.3504,57.1753
manga109_60_60,34.3022,0.9524,4.7109,0.0288,0.0233,0.9322,380.8621,0.5584,0.3512,72.2472
manga109_61_61,30.5831,0.8999,3.7577,0.0309,0.0313,0.9273,1402.9978,0.6935,0.4880,67.4994
