image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
set14_0_0,33.3350,0.9419,4.5380,0.0498,0.0553,0.9071,456.2788,0.7412,0.4852,72.1072
set14_1_1,27.7827,0.8057,3.4687,0.0711,0.0821,0.8266,841.9906,0.6383,0.4697,72.6623
set14_2_2,24.3168,0.5932,4.1415,0.2198,0.1455,0.6730,741.4534,0.4345,0.2267,55.6392
set14_3_3,27.1911,0.9648,5.0387,0.0244,0.0314,0.9253,1690.4368,0.7825,0.5848,76.5280
set14_4_4,27.6088,0.7649,5.2644,0.1122,0.0691,0.7942,572.1786,0.6449,0.4517,62.7048
set14_5_5,31.7927,0.8467,4.2648,0.0898,0.0899,0.8983,260.0552,0.6251,0.3274,66.7987
set14_6_6,25.7752,0.7594,4.5548,0.2467,0.1070,0.5850,450.8753,0.5549,0.2320,66.1714
set14_7_7,31.7970,0.7607,6.3076,0.0894,0.1253,0.8877,184.6388,0.5108,0.3626,55.5047
set14_8_8,24.0211,0.7659,4.2086,0.0849,0.0855,0.7715,1736.7275,0.7281,0.4431,71.8380
set14_9_9,33.5077,0.8609,5.1719,0.0604,0.0754,0.8939,186.5697,0.6694,0.4330,69.6108
set14_10_10,26.6958,0.7267,4.7681,0.1598,0.1282,0.7108,486.9165,0.5869,0.3289,62.7669
set14_11_11,25.0038,0.5137,5.3157,0.1348,0.1134,0.7472,692.9836,0.5490,0.3175,50.1879
set14_12_12,32.9726,0.9238,6.4964,0.0902,0.0823,0.8194,204.1043,0.5787,0.3055,40.6840
set14_13_13,21.8190,0.5122,3.7460,0.1945,0.1197,0.7445,1566.1079,0.6994,0.3484,74.4058
