image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
urban100_0_0,21.2706,0.6866,3.6099,0.1460,0.0883,0.6965,2603.6406,0.7748,0.5015,76.6975
urban100_1_1,28.2431,0.7741,4.0972,0.0817,0.0614,0.7863,990.2010,0.7156,0.5398,70.0282
urban100_2_2,23.0310,0.7671,3.7038,0.1361,0.0823,0.7298,1708.4595,0.7809,0.4415,75.8083
urban100_3_3,23.1144,0.6549,7.0136,0.2899,0.1448,0.6563,1616.3742,0.7048,0.4818,69.1101
urban100_4_4,24.6992,0.8333,4.0615,0.1090,0.0790,0.6215,1300.5892,0.7594,0.5296,76.3064
urban100_5_5,29.8507,0.8540,4.7981,0.0796,0.0818,0.8817,574.3737,0.6669,0.4290,70.1062
urban100_6_6,28.6249,0.9167,6.9120,0.0318,0.0666,0.9025,2634.7018,0.6604,0.5858,72.6716
urban100_7_7,22.5395,0.7327,3.9705,0.1577,0.0956,0.6579,1879.0974,0.7530,0.5299,75.4709
urban100_8_8,18.8429,0.5763,2.7877,0.1405,0.0887,0.7336,4750.9211,0.6922,0.4963,75.2041
urban100_9_9,22.1759,0.6856,2.3978,0.1589,0.0852,0.6831,1464.8582,0.7370,0.4207,74.7633
urban100_10_10,25.9053,0.7723,4.0681,0.1924,0.1378,0.6552,498.6099,0.5791,0.3618,66.7707
urban100_11_11,27.2398,0.7690,4.4957,0.0977,0.1502,0.6989,1669.0739,0.8026,0.5586,73.4243
urban100_12_12,21.8010,0.6007,3.8410,0.1961,0.0966,0.6767,1403.4263,0.6688,0.4066,76.2858
urban100_13_13,32.8596,0.9070,6.4029,0.0429,0.0719,0.9239,660.4398,0.7608,0.5178,68.0248
urban100_14_14,25.5444,0.7535,3.4481,0.1027,0.0656,0.7218,817.0333,0.6447,0.4353,74.1230
urban100_15_15,26.2281,0.8780,3.5017,0.0461,0.0498,0.8490,2765.9174,0.7231,0.5753,74.8927
urban100_16_16,24.6708,0.9053,3.8397,0.0437,0.0492,0.8120,3851.0829,0.7096,0.5895,74.2341
urban100_17_17,25.7314,0.7855,3.5771,0.1022,0.0570,0.8290,911.7601,0.6453,0.3141,64.0097
urban100_18_18,26.8874,0.7552,5.5933,0.1416,0.1152,0.8659,2295.3920,0.6961,0.5223,74.1434
urban100_19_19,30.2956,0.9628,7.4603,0.0296,0.0692,0.9137,3049.2398,0.7066,0.5596,65.4808
urban100_20_20,24.7628,0.8004,3.6481,0.0880,0.0719,0.7167,1235.1613,0.7351,0.4841,77.0254
urban100_21_21,22.2326,0.8358,4.3727,0.0918,0.0751,0.7060,5014.7718,0.8206,0.6114,77.0077
