image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
bsd100_0_0,23.1670,0.5182,3.0895,0.1742,0.1170,0.7535,1726.7969,0.5051,0.3164,63.5481
bsd100_1_1,23.1950,0.6191,3.6949,0.1598,0.1116,0.7445,1514.0031,0.5657,0.3092,63.3324
bsd100_2_2,25.9214,0.7096,3.1790,0.1470,0.0976,0.8225,1113.5316,0.6759,0.4193,73.1628
bsd100_3_3,29.1493,0.7312,3.9100,0.1533,0.1147,0.8344,292.3024,0.6213,0.2742,59.3281
bsd100_4_4,23.6776,0.6084,3.7307,0.1746,0.1512,0.7784,1100.3286,0.7535,0.4221,70.0025
bsd100_5_5,26.4717,0.7596,2.7532,0.1525,0.1208,0.7483,534.3641,0.6145,0.3313,63.6701
bsd100_6_6,22.9682,0.7089,4.0829,0.1646,0.1453,0.7660,2308.7704,0.7195,0.4337,71.5693
bsd100_7_7,30.8168,0.7890,3.1715,0.1330,0.1062,0.7794,183.7591,0.6145,0.3813,68.4734
bsd100_8_8,24.0881,0.5277,2.9260,0.1753,0.1070,0.7379,918.4708,0.7489,0.3417,73.9654
bsd100_9_9,31.6335,0.9416,5.9363,0.0306,0.0869,0.7991,856.4181,0.7973,0.5273,71.5473
bsd100_10_10,26.0767,0.6913,4.0367,0.1187,0.1074,0.8019,743.1895,0.7109,0.4714,74.4025
bsd100_11_11,18.1223,0.4506,3.5860,0.2244,0.1215,0.7612,5766.3577,0.7063,0.4722,74.2524
bsd100_12_12,25.6668,0.6992,3.2192,0.1412,0.0936,0.8117,892.9325,0.6052,0.3276,65.4795
bsd100_13_13,21.4274,0.5731,2.7957,0.1655,0.0933,0.6500,2456.8269,0.6637,0.3270,73.3383
bsd100_14_14,24.0987,0.6378,3.4874,0.1504,0.0950,0.7820,1586.8562,0.7091,0.3645,68.8246
bsd100_15_15,29.6665,0.8146,3.1414,0.1479,0.1153,0.6849,238.8595,0.7315,0.3890,67.2965
bsd100_16_16,23.3889,0.5000,3.1414,0.2591,0.1623,0.6487,1045.4663,0.5622,0.3274,60.0002
bsd100_17_17,24.6558,0.6370,3.6173,0.1287,0.0924,0.7722,1100.9947,0.7367,0.3984,71.0052
bsd100_18_18,37.1918,0.9631,6.1652,0.0231,0.0547,0.9404,356.6602,0.7498,0.6033,71.8410
bsd100_19_19,26.2186,0.7878,3.4949,0.1296,0.1211,0.6901,732.2141,0.6696,0.3401,66.4006
bsd100_20_20,30.8524,0.8022,3.9987,0.0985,0.0985,0.8315,248.7738,0.7033,0.3999,63.7114
bsd100_21_21,33.8383,0.8787,4.0138,0.0581,0.0722,0.8908,164.9845,0.7776,0.4668,68.8427
bsd100_22_22,30.0334,0.7281,4.0312,0.0997,0.1125,0.7883,325.2976,0.6190,0.3472,65.6968
bsd100_23_23,32.0058,0.8757,3.4817,0.0584,0.1052,0.8132,207.5638,0.7264,0.4358,65.1406
bsd100_24_24,26.7631,0.6883,3.5089,0.1456,0.1073,0.7541,620.9427,0.7521,0.4563,75.3154
bsd100_25_25,32.6917,0.8758,5.0873,0.0752,0.0850,0.8507,177.0049,0.7004,0.4258,65.0741
bsd100_26_26,23.2801,0.7467,3.0952,0.1103,0.1088,0.8156,1708.7069,0.7239,0.4074,75.6532
bsd100_27_27,33.5090,0.8430,3.9632,0.0885,0.0813,0.8043,169.4154,0.6601,0.4818,74.8042
bsd100_28_28,28.2066,0.7638,3.1722,0.0868,0.0789,0.7924,636.8672,0.6827,0.3843,69.2151
bsd100_29_29,23.0978,0.5886,3.3781,0.1940,0.1463,0.7536,1996.5038,0.6136,0.2935,55.3669
bsd100_30_30,31.0144,0.8154,5.4868,0.0985,0.0975,0.8669,511.9253,0.6175,0.4813,75.8175
bsd100_31_31,28.4195,0.7680,4.2051,0.1252,0.1110,0.7565,343.3675,0.7940,0.3759,64.7429
bsd100_32_32,23.6377,0.5741,3.2322,0.1944,0.1157,0.6986,1167.7674,0.6906,0.3044,67.3936
bsd100_33_33,24.5281,0.7768,4.3497,0.1098,0.0940,0.8652,1596.1405,0.6599,0.4383,62.9159
bsd100_34_34,27.5766,0.8650,3.7920,0.0742,0.0750,0.7319,597.8590,0.6370,0.2611,63.9663
bsd100_35_35,24.0064,0.5314,3.3320,0.1833,0.1497,0.7989,1635.7682,0.7454,0.3752,71.5874
bsd100_36_36,19.5595,0.4008,5.3262,0.2387,0.1655,0.6948,2754.3139,0.7183,0.4080,68.3789
bsd100_37_37,19.4937,0.5263,4.3789,0.1853,0.1447,0.7127,3556.5595,0.6740,0.4073,64.9622
bsd100_38_38,27.0455,0.7643,4.7093,0.1051,0.0752,0.8063,918.7101,0.8594,0.4338,70.1984
bsd100_39_39,27.8970,0.7385,3.5924,0.1556,0.0894,0.7389,449.0959,0.6793,0.3178,58.7731
bsd100_40_40,29.7432,0.7394,4.0375,0.1199,0.1050,0.8327,481.5220,0.7479,0.4935,74.8195
bsd100_41_41,19.0981,0.5830,4.0929,0.1999,0.1571,0.6736,4649.8809,0.6680,0.5019,63.4822
bsd100_42_42,24.8365,0.7152,2.9084,0.0982,0.0808,0.7944,1438.0615,0.6363,0.4085,72.9629
bsd100_43_43,21.1533,0.3584,3.9224,0.2207,0.1225,0.7858,3185.5405,0.7483,0.4287,75.3473
bsd100_44_44,24.4317,0.6317,4.2061,0.1878,0.1537,0.6715,641.3210,0.6879,0.3509,63.2357
bsd100_45_45,23.5959,0.5854,3.3708,0.1818,0.1601,0.6814,1009.7209,0.6645,0.3218,68.0642
bsd100_46_46,24.4288,0.7130,3.3560,0.1404,0.1287,0.7587,1108.7302,0.7510,0.3320,62.9281
bsd100_47_47,26.1840,0.6878,2.8847,0.1716,0.1151,0.7611,722.1154,0.6917,0.3219,66.8000
bsd100_48_48,21.5735,0.6231,3.8684,0.1863,0.1178,0.6765,1869.7803,0.6889,0.2584,57.0446
bsd100_49_49,31.1372,0.7564,5.0201,0.1283,0.1075,0.8211,166.6056,0.6592,0.4370,62.5179
bsd100_50_50,26.3273,0.7260,3.2222,0.1262,0.0869,0.7427,1068.8661,0.5861,0.3477,70.5987
bsd100_51_51,31.5650,0.8223,3.5569,0.0865,0.1026,0.8020,244.3365,0.7275,0.4199,70.0305
bsd100_52_52,33.6936,0.9463,6.0620,0.0480,0.0673,0.8713,518.7189,0.6246,0.4918,71.4920
bsd100_53_53,20.6124,0.6782,3.4587,0.1229,0.1054,0.8182,3463.0156,0.6838,0.3953,69.7012
bsd100_54_54,24.9630,0.6935,2.3433,0.1286,0.1215,0.6730,1065.9722,0.6969,0.4090,67.2860
bsd100_55_55,34.1070,0.8604,4.8349,0.0706,0.0772,0.8558,208.3028,0.6174,0.4399,64.6679
bsd100_56_56,24.5634,0.7878,5.3410,0.1004,0.0763,0.8530,1505.7700,0.6122,0.4164,55.7372
bsd100_57_57,24.8363,0.7017,2.4476,0.1254,0.0844,0.7580,1226.0389,0.6127,0.3787,69.6457
bsd100_58_58,24.0985,0.7318,3.7845,0.1071,0.0937,0.7301,1680.9888,0.7136,0.4280,72.1397
bsd100_59_59,22.6981,0.6668,3.7245,0.1303,0.0916,0.7819,2089.4923,0.6701,0.3883,72.7684
bsd100_60_60,27.4785,0.6789,3.8708,0.1477,0.1223,0.7959,507.4213,0.7278,0.4701,70.0230
bsd100_61_61,27.3135,0.8398,4.3471,0.0740,0.0689,0.8297,1204.0863,0.7858,0.4714,76.4167
bsd100_62_62,20.8980,0.4790,3.1924,0.2420,0.1380,0.7717,2345.4560,0.7074,0.3680,65.5946
bsd100_63_63,31.6009,0.8877,8.4183,0.0854,0.0950,0.8777,505.7012,0.5485,0.2915,50.0774
bsd100_64_64,24.0413,0.6940,4.9078,0.1271,0.0964,0.8141,1877.3215,0.7687,0.4931,73.1552
bsd100_65_65,27.4669,0.6427,2.7755,0.1266,0.1057,0.7263,599.4583,0.6996,0.4055,68.6641
bsd100_66_66,22.1442,0.5240,2.3674,0.1565,0.1126,0.7672,2128.4628,0.6475,0.4204,69.7713
bsd100_67_67,27.5209,0.7796,3.9293,0.0962,0.0753,0.7237,605.8623,0.6899,0.3624,72.4675
bsd100_68_68,30.0707,0.8514,3.9556,0.1068,0.0845,0.8524,253.5609,0.7299,0.3908,61.4895
bsd100_69_69,25.3627,0.8054,4.2857,0.1040,0.1344,0.7112,882.4977,0.7846,0.4204,69.2277
bsd100_70_70,24.9876,0.7409,2.3984,0.1399,0.0936,0.7674,882.4507,0.7047,0.3324,68.7318
bsd100_71_71,24.5567,0.6619,2.6366,0.1659,0.1175,0.7734,1013.2107,0.6107,0.2982,58.1117
bsd100_72_72,27.7205,0.7391,4.2100,0.1303,0.1081,0.7725,645.0243,0.6702,0.3167,68.6453
bsd100_73_73,29.6006,0.7640,4.1448,0.1049,0.0820,0.8294,343.3150,0.7516,0.2899,63.5075
bsd100_74_74,21.4176,0.5193,3.4944,0.2201,0.1687,0.4854,2331.8946,0.6849,0.3164,65.8821
bsd100_75_75,21.8599,0.6799,2.8419,0.2025,0.1331,0.5193,2137.3689,0.7623,0.5162,73.4751
bsd100_76_76,27.4241,0.8832,4.3085,0.0965,0.0914,0.7854,1001.5670,0.5643,0.3395,65.4334
bsd100_77_77,22.6313,0.6035,3.3509,0.1785,0.1096,0.7817,1802.3308,0.6671,0.3754,64.8275
bsd100_78_78,28.5625,0.8074,3.9253,0.0755,0.0829,0.8273,683.5678,0.7777,0.4671,73.6546
bsd100_79_79,26.0710,0.6589,2.7637,0.1866,0.1131,0.7855,580.5043,0.7054,0.3449,68.5233
bsd100_80_80,27.0056,0.7234,3.8377,0.1374,0.1191,0.7787,598.6304,0.6443,0.3583,72.3286
bsd100_81_81,34.8434,0.9264,4.6095,0.0631,0.0946,0.8762,107.4329,0.5398,0.2643,51.5310
bsd100_82_82,25.5106,0.5160,4.4332,0.2567,0.1397,0.7391,668.2146,0.5849,0.2988,60.7550
bsd100_83_83,25.4236,0.7194,2.8715,0.1109,0.0984,0.7732,1189.6511,0.7265,0.4532,74.6044
bsd100_84_84,25.9176,0.5004,3.5345,0.1999,0.1240,0.7865,566.6623,0.6819,0.3442,68.7417
bsd100_85_85,26.6674,0.6819,3.1925,0.0902,0.0894,0.8052,911.9291,0.6991,0.4072,67.1925
bsd100_86_86,26.6639,0.7508,2.9938,0.1316,0.1095,0.8166,689.4814,0.6480,0.3402,56.9260
bsd100_87_87,24.8531,0.6776,3.2175,0.1093,0.0895,0.8199,1001.3711,0.6071,0.3102,64.1025
bsd100_88_88,25.6485,0.7879,2.9316,0.1176,0.0964,0.7564,838.9908,0.6749,0.3670,70.2215
bsd100_89_89,25.5779,0.4941,3.4229,0.2804,0.1749,0.7858,752.8775,0.6174,0.3455,56.2996
bsd100_90_90,40.4588,0.9784,10.0211,0.0245,0.0566,0.8974,106.8555,0.6470,0.4458,65.5758
bsd100_91_91,29.1037,0.7915,3.7498,0.1668,0.1221,0.6398,249.6933,0.6338,0.3405,62.6497
bsd100_92_92,25.8726,0.8020,3.8387,0.1427,0.0938,0.7218,1179.6424,0.8144,0.4568,67.7825
bsd100_93_93,27.8872,0.7662,4.1244,0.1415,0.1384,0.7434,478.6615,0.7679,0.4106,67.2222
bsd100_94_94,27.6251,0.7500,3.6366,0.1312,0.1043,0.7307,570.9358,0.6159,0.3628,60.0933
bsd100_95_95,25.7239,0.7040,2.7699,0.1777,0.1115,0.6897,922.9987,0.7007,0.3333,68.4067
bsd100_96_96,20.0103,0.3986,2.7420,0.1959,0.1083,0.7751,3294.9317,0.6653,0.3245,70.9329
bsd100_97_97,20.1642,0.2627,5.1646,0.3317,0.1741,0.7506,2689.2258,0.6383,0.4773,64.2815
bsd100_98_98,25.9612,0.3764,4.8494,0.1804,0.1648,0.7718,964.1259,0.6344,0.4718,68.4399
bsd100_99_99,27.9932,0.7497,3.4472,0.1540,0.1242,0.6315,532.0779,0.4818,0.3321,62.1124
