image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
manga109_0_0,33.9534,0.9581,4.3383,0.0178,0.0238,0.9398,740.2015,0.6987,0.4450,74.2166
manga109_1_1,28.5541,0.9582,5.4708,0.0350,0.0250,0.8941,2232.8156,0.7129,0.5143,61.3126
manga109_2_2,35.3287,0.9787,4.7047,0.0164,0.0214,0.9200,395.3531,0.5988,0.3362,58.3268
manga109_3_3,30.5947,0.8309,2.9240,0.0574,0.0335,0.8736,468.0295,0.5997,0.3594,70.0677
manga109_4_4,19.9523,0.7223,2.8321,0.0718,0.0448,0.8557,9701.5329,0.6291,0.5003,69.4770
manga109_5_5,37.5634,0.9861,6.3624,0.0082,0.0114,0.9355,308.5355,0.6215,0.3935,73.2073
manga109_6_6,35.7617,0.9345,3.6161,0.0419,0.0268,0.8935,141.0432,0.6499,0.3692,62.3878
manga109_7_7,37.0140,0.9705,5.0343,0.0301,0.0325,0.9293,350.0692,0.6058,0.4379,66.0124
manga109_8_8,28.6758,0.7305,2.0435,0.0619,0.0301,0.8511,618.9304,0.6177,0.3168,55.7639
manga109_9_9,28.9219,0.9064,3.7873,0.0264,0.0346,0.9408,2017.6070,0.7232,0.5043,70.2985
manga109_10_10,26.7778,0.8373,3.3024,0.0540,0.0274,0.9067,2398.8594,0.7043,0.3991,63.7068
manga109_11_11,32.1420,0.9588,4.5190,0.0217,0.0265,0.9446,1155.3446,0.6217,0.4838,75.0946
manga109_12_12,31.7086,0.8474,3.1186,0.0376,0.0209,0.9430,1273.2672,0.6560,0.4398,71.1066
manga109_13_13,19.7151,0.7464,4.0492,0.1190,0.0544,0.7918,8054.2193,0.6479,0.5151,74.8076
manga109_14_14,32.7648,0.9253,3.4930,0.0221,0.0223,0.9066,708.0234,0.6514,0.4699,76.6418
manga109_15_15,28.0848,0.8683,3.0296,0.0679,0.0537,0.8711,1405.9722,0.6038,0.4091,67.4983
manga109_16_16,35.8749,0.9302,3.5832,0.0289,0.0223,0.9353,331.5780,0.5735,0.3754,68.1581
manga109_17_17,31.1999,0.8900,3.5742,0.0559,0.0428,0.8816,388.9712,0.6122,0.3289,68.2192
manga109_18_18,31.6427,0.9438,4.1126,0.0253,0.0242,0.8728,829.4468,0.6043,0.4237,71.7691
manga109_19_19,25.7720,0.9131,6.2493,0.0423,0.0572,0.8853,2272.5920,0.5227,0.5232,51.9258
manga109_20_20,22.4825,0.7952,4.2010,0.1012,0.0429,0.6501,4860.5542,0.7200,0.6038,76.3273
manga109_21_21,41.3804,0.9831,5.6728,0.0078,0.0189,0.9546,143.0348,0.6238,0.3710,58.3624
manga109_22_22,32.7090,0.8885,3.0378,0.0478,0.0344,0.9149,374.8053,0.5518,0.3650,59.8288
manga109_23_23,34.4299,0.9614,4.4088,0.0136,0.0178,0.9257,517.9012,0.7120,0.3962,70.5944
manga109_24_24,32.9313,0.9593,3.8220,0.0163,0.0176,0.9427,900.4055,0.6697,0.3771,59.3258
