image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
set14_0_0,33.9684,0.9437,4.0694,0.0430,0.0550,0.9119,465.5622,0.7605,0.4875,73.2108
set14_1_1,27.3062,0.7922,3.1433,0.0664,0.0768,0.8346,1121.8706,0.6967,0.5047,73.8311
set14_2_2,23.3049,0.5425,2.7103,0.2146,0.1411,0.6952,1603.1734,0.4442,0.2587,57.3818
set14_3_3,28.0718,0.9711,5.1676,0.0213,0.0258,0.9323,1732.2564,0.8051,0.6060,76.5370
set14_4_4,26.8215,0.7312,3.6093,0.0718,0.0561,0.8461,743.1222,0.6999,0.4685,62.8822
set14_5_5,31.1917,0.8332,4.1404,0.0797,0.0831,0.9044,371.2452,0.6509,0.3583,69.5743
set14_6_6,24.9368,0.7456,3.8962,0.2428,0.1043,0.5834,730.0037,0.5862,0.2529,69.3625
set14_7_7,31.2300,0.7331,4.3911,0.0673,0.1031,0.9067,312.4678,0.5203,0.3926,60.1963
set14_8_8,23.2870,0.7457,4.3611,0.0896,0.0810,0.7820,2582.0024,0.7866,0.5184,75.6626
set14_9_9,33.4702,0.8511,4.5683,0.0481,0.0641,0.9088,211.5638,0.6840,0.4254,72.2802
set14_10_10,25.9488,0.6986,3.0935,0.1382,0.1143,0.7185,839.2523,0.6600,0.3682,65.1321
set14_11_11,23.3655,0.4290,5.2900,0.1820,0.1435,0.7421,1702.1778,0.6379,0.3929,61.1318
set14_12_12,33.1083,0.9193,5.0341,0.0601,0.0753,0.8523,250.6276,0.6271,0.3455,44.6781
set14_13_13,20.7554,0.4674,3.5515,0.1698,0.1027,0.7655,3594.1577,0.7383,0.3873,74.9973
