image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
urban100_0_0,20.4520,0.6627,3.3403,0.1203,0.0792,0.7509,4802.3099,0.8024,0.5991,77.0648
urban100_1_1,28.0192,0.7542,3.8322,0.0688,0.0564,0.8182,1506.4203,0.7856,0.5779,71.7613
urban100_2_2,22.7544,0.7605,2.7865,0.1104,0.0694,0.7722,2509.8119,0.8003,0.4936,77.0537
urban100_3_3,22.9470,0.6455,6.0618,0.2660,0.1351,0.6622,2373.5660,0.7933,0.5189,69.8200
urban100_4_4,24.4604,0.8280,3.4852,0.1000,0.0768,0.6344,1737.2377,0.7703,0.5581,76.9170
urban100_5_5,29.7799,0.8517,4.2662,0.0646,0.0704,0.8950,758.2930,0.6880,0.4523,72.1424
urban100_6_6,28.9211,0.9173,6.2646,0.0299,0.0631,0.9174,2843.8450,0.7260,0.5996,73.2210
urban100_7_7,22.1800,0.7255,3.6251,0.1303,0.0808,0.7038,3294.8227,0.7780,0.5647,76.1987
urban100_8_8,18.2140,0.5428,2.9630,0.1371,0.0839,0.7664,7739.5088,0.7334,0.5715,75.3644
urban100_9_9,21.6119,0.6702,1.9144,0.1234,0.0751,0.7341,2533.2604,0.7704,0.4983,75.7268
urban100_10_10,25.4078,0.7633,3.6520,0.1389,0.1198,0.6889,850.1226,0.6659,0.4181,70.0868
urban100_11_11,27.0817,0.7584,4.0312,0.0913,0.1366,0.6996,2059.2021,0.8449,0.6018,73.6482
urban100_12_12,20.9755,0.5741,2.5988,0.1407,0.0763,0.7194,3265.7790,0.7007,0.4816,77.1739
urban100_13_13,33.4772,0.9054,6.4753,0.0377,0.0745,0.9277,770.3562,0.7642,0.5379,69.6634
urban100_14_14,24.9778,0.7379,3.0628,0.0956,0.0630,0.7438,1227.7579,0.6815,0.4745,75.6642
urban100_15_15,25.8109,0.8734,3.3087,0.0450,0.0476,0.8675,3417.2779,0.7729,0.6159,75.4647
urban100_16_16,24.6136,0.9077,4.2593,0.0419,0.0473,0.8091,5055.5363,0.7594,0.6350,75.4792
urban100_17_17,24.7803,0.7612,2.5451,0.1011,0.0544,0.8329,1413.6860,0.7206,0.3361,67.1191
urban100_18_18,26.7218,0.7453,4.2712,0.0976,0.0988,0.8773,3160.8796,0.7502,0.5491,74.8057
urban100_19_19,30.7621,0.9673,7.0039,0.0227,0.0581,0.9235,3445.0028,0.7705,0.5881,66.6990
urban100_20_20,24.5839,0.7982,3.1659,0.0781,0.0650,0.7422,1670.8846,0.7426,0.5299,77.4027
urban100_21_21,21.9769,0.8335,4.2827,0.0893,0.0662,0.7467,7421.8460,0.8304,0.6659,77.1792
urban100_22_22,29.5567,0.8622,3.1499,0.0732,0.0476,0.8297,470.2109,0.7243,0.3402,73.0635
urban100_23_23,30.6621,0.9248,3.6826,0.0272,0.0603,0.9160,1555.1700,0.8108,0.5981,73.3711
urban100_24_24,34.5148,0.9461,6.0724,0.0229,0.0404,0.9170,564.7333,0.6330,0.5057,68.9659
urban100_25_25,29.4042,0.8841,5.6055,0.0772,0.0782,0.8616,1057.9196,0.7648,0.4697,65.1283
urban100_26_26,22.6008,0.6136,4.2551,0.1445,0.1593,0.7282,3269.3245,0.6613,0.4498,71.3951
urban100_27_27,22.9721,0.7939,2.7559,0.0889,0.0515,0.8167,2867.4618,0.7340,0.4906,71.2498
urban100_28_28,25.9027,0.7827,3.4132,0.1114,0.0533,0.7615,1600.1101,0.7326,0.4338,74.0792
urban100_29_29,21.5005,0.7537,3.4912,0.0934,0.0676,0.7524,3885.5976,0.7732,0.4975,76.2555
urban100_30_30,27.0527,0.5972,3.9515,0.0976,0.0625,0.8541,1648.8987,0.7039,0.5092,66.5681
urban100_31_31,31.6866,0.9301,4.3306,0.0303,0.0421,0.8835,577.1458,0.6935,0.4379,67.5613
urban100_32_32,23.7273,0.7999,2.9366,0.0992,0.0710,0.7554,2425.8845,0.5108,0.3640,56.7946
urban100_33_33,25.3846,0.7141,3.2266,0.1408,0.0674,0.7942,1135.6172,0.6888,0.3804,77.0107
urban100_34_34,22.1157,0.7419,3.0084,0.1293,0.0612,0.7514,4185.1638,0.7298,0.5481,67.7112
urban100_35_35,27.6940,0.8956,4.0627,0.0390,0.0656,0.8896,2251.2710,0.7622,0.5621,73.9411
urban100_36_36,28.5840,0.8139,2.3168,0.0916,0.0633,0.8140,697.4338,0.5589,0.3372,66.1742
urban100_37_37,23.4836,0.6979,3.3459,0.1312,0.0939,0.7769,2664.7261,0.7071,0.5556,72.8796
urban100_38_38,28.0956,0.9197,5.3423,0.0342,0.0656,0.7954,2193.2598,0.7235,0.5579,76.5249
urban100_39_39,24.2875,0.7715,3.0116,0.0944,0.0553,0.7829,1576.3864,0.6856,0.4277,72.2304
urban100_40_40,27.6318,0.9006,3.2727,0.0477,0.0551,0.8722,2036.0743,0.7455,0.5280,73.5825
urban100_41_41,24.6618,0.6651,2.4911,0.1141,0.0423,0.7937,1658.4573,0.7381,0.4645,74.5704
urban100_42_42,31.4856,0.9051,7.8711,0.0557,0.0637,0.9124,896.9380,0.7183,0.4853,68.4851
urban100_43_43,24.5822,0.7786,3.8266,0.1073,0.0652,0.7502,2023.1616,0.7838,0.5288,77.2669
urban100_44_44,41.5447,0.9836,5.5878,0.0139,0.0404,0.9491,193.5319,0.6191,0.4852,68.6173
urban100_45_45,28.9402,0.9160,4.0650,0.0629,0.0795,0.7322,567.0946,0.6077,0.3689,72.0445
urban100_46_46,32.8083,0.8893,4.0259,0.0834,0.0983,0.8281,352.0471,0.5685,0.4020,62.5020
urban100_47_47,34.3310,0.9386,6.0975,0.0423,0.0511,0.9393,405.2898,0.6678,0.4443,71.7511
urban100_48_48,23.3177,0.8534,5.3205,0.0637,0.0700,0.7524,6093.0692,0.7103,0.5934,75.3801
urban100_49_49,23.3999,0.8304,4.2586,0.0844,0.0867,0.7678,4098.0979,0.7000,0.5645,73.2099
urban100_50_50,26.6669,0.6688,3.2038,0.0883,0.0777,0.8152,2124.9957,0.6808,0.5330,68.8428
urban100_51_51,20.1546,0.7289,4.5276,0.1606,0.1093,0.6869,8105.4269,0.7625,0.6205,67.7145
urban100_52_52,19.1866,0.4599,3.9450,0.2053,0.1086,0.6422,6054.9328,0.6201,0.4725,67.0188
urban100_53_53,37.1508,0.9634,5.3548,0.0367,0.0467,0.8869,94.5800,0.5940,0.4439,74.0051
urban100_54_54,28.7039,0.7847,3.1859,0.1071,0.0734,0.7071,841.2214,0.5845,0.3970,67.7626
urban100_55_55,30.3191,0.9260,4.7052,0.0318,0.0393,0.9215,2035.9963,0.7735,0.5920,75.7115
urban100_56_56,23.7828,0.7761,2.6116,0.0880,0.0726,0.8160,3031.4442,0.8069,0.5817,74.2627
urban100_57_57,35.3826,0.9455,4.7453,0.0540,0.0515,0.8759,235.8909,0.6758,0.4397,73.3927
urban100_58_58,31.2054,0.8992,4.5521,0.0710,0.0559,0.7771,347.2742,0.6995,0.3883,70.6411
urban100_59_59,25.0437,0.6858,2.4084,0.1437,0.0790,0.7253,1347.0056,0.7521,0.4518,75.3309
urban100_60_60,39.5364,0.9763,8.5528,0.0065,0.0185,0.9540,512.9337,0.6784,0.5017,71.4808
urban100_61_61,26.8023,0.7787,2.3317,0.1081,0.0485,0.8296,995.4639,0.6801,0.4268,67.7912
urban100_62_62,33.0009,0.9390,5.7086,0.0229,0.0616,0.9332,1064.7473,0.5426,0.3778,54.0977
urban100_63_63,24.1164,0.8290,4.0402,0.0697,0.0787,0.7983,4257.8388,0.7677,0.5712,75.8993
urban100_64_64,20.9662,0.7124,4.6136,0.1016,0.0775,0.7599,6612.7120,0.7389,0.6004,73.9898
urban100_65_65,22.7114,0.8949,3.8253,0.0544,0.0688,0.8286,5375.7148,0.7650,0.6063,75.3464
urban100_66_66,26.5532,0.8096,8.0442,0.0585,0.1151,0.8160,1757.5096,0.7272,0.5254,59.9943
urban100_67_67,30.1548,0.9189,6.8175,0.0568,0.0648,0.8793,1714.0506,0.7528,0.5413,70.5490
urban100_68_68,30.8040,0.9223,5.7480,0.0444,0.0814,0.8929,811.8957,0.7275,0.4827,73.9837
urban100_69_69,25.9260,0.8544,3.2422,0.0620,0.0584,0.8362,1443.0144,0.6878,0.4630,77.6887
urban100_70_70,33.0604,0.9301,3.2296,0.0401,0.0541,0.9226,862.3413,0.6926,0.5509,77.3137
urban100_71_71,27.7850,0.8533,4.2983,0.0712,0.0747,0.8366,1531.2882,0.6781,0.4706,71.3843
urban100_72_72,24.0307,0.7741,2.5371,0.0840,0.0640,0.8032,2381.5343,0.7037,0.5084,66.2901
urban100_73_73,32.1833,0.9701,6.5128,0.0242,0.0327,0.9382,1544.0354,0.7065,0.5850,73.1789
urban100_74_74,22.0311,0.6270,3.8997,0.1796,0.1014,0.6168,2161.1898,0.6380,0.4202,67.9479
urban100_75_75,29.3860,0.8796,4.0919,0.0672,0.0767,0.7471,1888.1323,0.7849,0.6246,74.2242
urban100_76_76,27.0240,0.8404,3.6984,0.0589,0.0647,0.8164,2883.9485,0.6688,0.5343,74.7644
urban100_77_77,24.7467,0.8011,3.3508,0.0803,0.0766,0.7539,1960.2555,0.7550,0.5349,77.3338
urban100_78_78,21.9616,0.5656,2.9289,0.1253,0.0782,0.7941,3665.4861,0.7852,0.5853,73.3103
urban100_79_79,24.8638,0.8482,5.0559,0.0753,0.0882,0.7354,3278.7302,0.7436,0.6367,73.8799
urban100_80_80,29.5125,0.7655,3.8277,0.0907,0.0816,0.8144,395.5639,0.7036,0.3649,66.2033
urban100_81_81,20.7218,0.6246,3.2742,0.2183,0.0783,0.6424,2887.1541,0.6505,0.3777,66.3087
urban100_82_82,27.5690,0.6475,5.7712,0.2215,0.1490,0.7106,1198.1335,0.7090,0.5088,71.3615
urban100_83_83,26.9782,0.9097,3.4379,0.0500,0.0461,0.7752,1832.0761,0.6831,0.5270,73.6341
urban100_84_84,26.5538,0.8363,3.1308,0.0625,0.0446,0.8422,1407.5528,0.6888,0.4793,76.2956
urban100_85_85,23.2956,0.6853,2.9554,0.1171,0.0719,0.7757,2559.6788,0.7602,0.5407,74.0057
urban100_86_86,25.7670,0.8221,2.6506,0.1016,0.0560,0.7686,1956.4934,0.7234,0.4915,72.1140
urban100_87_87,32.4134,0.9105,4.6202,0.0224,0.0587,0.9196,1260.4003,0.6849,0.5360,73.1860
urban100_88_88,34.1470,0.9226,5.6869,0.0176,0.0480,0.9549,2548.1637,0.7042,0.5332,65.3797
urban100_89_89,21.6295,0.8968,5.4768,0.0632,0.0934,0.8125,3272.7471,0.7332,0.4927,66.6576
urban100_90_90,35.3293,0.9371,5.7600,0.0386,0.0469,0.8785,313.4761,0.5866,0.4442,70.1081
urban100_91_91,28.3954,0.7966,3.9212,0.1166,0.0734,0.7582,717.7859,0.7563,0.5372,75.2011
urban100_92_92,21.7016,0.8758,4.3469,0.0483,0.0986,0.8440,9083.2941,0.7379,0.6067,63.4800
urban100_93_93,20.7173,0.7068,2.4302,0.1117,0.0621,0.7642,5072.3536,0.7095,0.4927,74.9782
urban100_94_94,33.3374,0.8992,3.7202,0.0387,0.0547,0.9195,660.6923,0.7711,0.6134,77.8001
urban100_95_95,31.3210,0.9063,5.0766,0.0364,0.0541,0.9136,1487.2440,0.7535,0.5819,74.8500
urban100_96_96,22.1473,0.5883,2.1261,0.1736,0.1003,0.5952,2967.5192,0.8012,0.5218,75.3327
urban100_97_97,19.9434,0.5700,2.8904,0.1462,0.0710,0.7513,5098.7633,0.7712,0.5501,76.3193
urban100_98_98,29.3864,0.8788,3.5656,0.0604,0.0557,0.8357,1413.0791,0.5766,0.3838,73.2382
urban100_99_99,20.9679,0.9211,4.8865,0.0323,0.0500,0.9199,6103.1684,0.7512,0.6025,73.8314
