image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
bsd100_0_0,24.1232,0.5493,3.9559,0.1890,0.1215,0.7119,953.7804,0.5507,0.3047,61.4765
bsd100_1_1,23.9231,0.6384,4.0789,0.1787,0.1223,0.6767,888.1189,0.5532,0.2585,60.0344
bsd100_2_2,26.6534,0.7302,3.7086,0.1459,0.0940,0.8128,819.5647,0.6629,0.3984,71.9869
bsd100_3_3,29.9702,0.7547,5.0496,0.1633,0.1210,0.7947,163.8994,0.5398,0.2295,53.7662
bsd100_4_4,24.5498,0.6345,5.2588,0.1841,0.1566,0.7479,643.7008,0.6993,0.3964,68.3019
bsd100_5_5,27.0647,0.7711,3.2512,0.1685,0.1234,0.6870,325.2175,0.5744,0.2901,59.4779
bsd100_6_6,24.5598,0.7519,4.4072,0.1521,0.1281,0.7864,1205.7589,0.6733,0.3895,65.9569
bsd100_7_7,31.3177,0.7976,3.9109,0.1427,0.1086,0.7228,122.4999,0.6335,0.3758,65.9192
bsd100_8_8,24.8042,0.5444,3.5975,0.1999,0.1197,0.6651,534.2728,0.7342,0.3103,70.5333
bsd100_9_9,32.4429,0.9469,6.5731,0.0307,0.0840,0.8545,732.7667,0.8063,0.5106,68.7417
bsd100_10_10,26.7319,0.7013,4.4915,0.1350,0.1138,0.7381,442.1835,0.6950,0.4534,71.1984
bsd100_11_11,18.7156,0.4533,4.7948,0.2347,0.1169,0.7101,3594.4038,0.7624,0.4438,70.6998
bsd100_12_12,26.4334,0.7160,3.3718,0.1516,0.1007,0.7664,560.2694,0.6019,0.3113,60.3804
bsd100_13_13,22.3400,0.6049,3.2114,0.1772,0.1008,0.6392,1481.2649,0.6545,0.2881,70.7153
bsd100_14_14,25.1417,0.6700,3.6427,0.1554,0.0925,0.7444,904.0625,0.6965,0.3446,64.3047
bsd100_15_15,30.2865,0.8275,3.5329,0.1581,0.1220,0.6457,147.4970,0.7188,0.3732,64.1185
bsd100_16_16,24.0691,0.5209,4.7712,0.2974,0.1638,0.6137,579.8672,0.4963,0.3143,55.0579
bsd100_17_17,25.3798,0.6537,4.0422,0.1408,0.0940,0.7118,629.1712,0.7102,0.3760,70.1753
bsd100_18_18,37.5903,0.9647,6.4726,0.0230,0.0539,0.9389,320.3915,0.7463,0.5995,71.8963
bsd100_19_19,27.1345,0.8091,3.9443,0.1327,0.1219,0.6306,476.3878,0.6134,0.2970,59.7402
bsd100_20_20,31.5738,0.8154,5.9766,0.1085,0.0960,0.8022,166.1010,0.7144,0.3963,58.9387
bsd100_21_21,34.2822,0.8831,4.5042,0.0645,0.0755,0.8622,132.3994,0.7641,0.4639,66.3218
bsd100_22_22,30.7881,0.7425,5.6140,0.1160,0.1225,0.7333,181.9087,0.5774,0.3249,60.1169
bsd100_23_23,32.6806,0.8810,4.0411,0.0665,0.1033,0.7674,136.4034,0.7296,0.4247,61.9057
bsd100_24_24,27.7663,0.7164,3.9918,0.1524,0.1038,0.6975,384.7019,0.7243,0.4471,72.5739
bsd100_25_25,33.4548,0.8836,4.7777,0.0831,0.0817,0.8080,122.4704,0.7180,0.4162,60.8141
bsd100_26_26,24.1230,0.7578,3.1362,0.1288,0.1091,0.7543,840.3221,0.7212,0.3651,73.7892
bsd100_27_27,34.1912,0.8543,4.8864,0.0975,0.0862,0.7810,116.0004,0.6383,0.4662,74.3435
bsd100_28_28,28.8457,0.7859,4.5218,0.0992,0.0817,0.7544,457.5336,0.6658,0.3442,65.9306
bsd100_29_29,24.0672,0.6206,3.7952,0.2016,0.1544,0.7180,970.3768,0.5972,0.2671,50.9435
bsd100_30_30,31.2970,0.8236,6.0463,0.1066,0.0932,0.8590,384.4264,0.6352,0.4680,75.3007
bsd100_31_31,29.2701,0.7859,4.9423,0.1484,0.1062,0.7037,185.8579,0.7970,0.3442,59.3353
bsd100_32_32,24.2909,0.5902,3.8490,0.2027,0.1161,0.6461,729.9089,0.6500,0.3021,66.0317
bsd100_33_33,25.1604,0.7834,3.8626,0.1063,0.0837,0.8613,1067.2908,0.6832,0.4322,60.9585
bsd100_34_34,28.1007,0.8750,4.0699,0.0858,0.0768,0.6735,449.0548,0.6628,0.2389,59.1259
bsd100_35_35,25.0421,0.5627,4.7559,0.2009,0.1481,0.7450,812.0434,0.7004,0.3419,66.0297
bsd100_36_36,20.2636,0.4167,5.8354,0.2784,0.1653,0.6474,1561.9383,0.6853,0.3823,67.1489
bsd100_37_37,20.4186,0.5579,4.8847,0.1847,0.1349,0.6602,1971.4735,0.6277,0.3711,62.0172
bsd100_38_38,27.5531,0.7746,4.0936,0.1139,0.0764,0.7751,669.3198,0.8621,0.4139,65.6219
bsd100_39_39,29.0852,0.7696,4.2328,0.1725,0.0911,0.6906,221.3973,0.6937,0.3015,57.3807
