image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
manga109_0_0,34.4211,0.9596,4.4648,0.0168,0.0224,0.9380,690.7701,0.6944,0.4416,74.0245
manga109_1_1,29.0091,0.9605,4.9369,0.0363,0.0225,0.8875,2210.7246,0.7117,0.5185,60.9434
manga109_2_2,36.0734,0.9798,4.7908,0.0153,0.0183,0.9224,381.1769,0.5852,0.3298,58.5268
manga109_3_3,31.4555,0.8465,3.5663,0.0563,0.0334,0.8641,370.5575,0.6000,0.3409,67.5176
manga109_4_4,20.8245,0.7500,2.6737,0.0612,0.0446,0.8580,7093.1608,0.6364,0.4730,68.0886
manga109_5_5,38.0570,0.9868,6.7246,0.0075,0.0116,0.9357,294.7104,0.6298,0.3895,73.2106
manga109_6_6,36.2044,0.9391,4.7601,0.0452,0.0306,0.8651,124.6674,0.6577,0.3643,60.2117
manga109_7_7,37.2715,0.9712,5.5767,0.0277,0.0305,0.9264,348.0714,0.6174,0.4369,65.3125
manga109_8_8,29.2931,0.7435,2.6333,0.0643,0.0299,0.8642,556.3855,0.5953,0.3225,54.5586
manga109_9_9,29.5820,0.9156,4.0525,0.0242,0.0323,0.9431,1747.0115,0.7238,0.5012,71.1419
manga109_10_10,27.9690,0.8646,3.6668,0.0476,0.0274,0.9093,1759.1653,0.7068,0.3920,64.5783
manga109_11_11,32.7948,0.9611,4.4224,0.0201,0.0248,0.9427,956.2874,0.6205,0.4712,75.0297
manga109_12_12,32.5252,0.8646,3.6621,0.0362,0.0212,0.9445,1131.6995,0.6542,0.4245,71.9451
manga109_13_13,20.6962,0.7701,3.5760,0.1078,0.0490,0.7998,5885.4271,0.6533,0.4939,74.0020
manga109_14_14,33.4818,0.9313,4.6190,0.0210,0.0208,0.9060,658.8644,0.6328,0.4589,76.1025
manga109_15_15,28.5852,0.8733,3.2839,0.0667,0.0523,0.8583,1171.7341,0.6274,0.3993,67.7198
manga109_16_16,36.6941,0.9428,4.4179,0.0216,0.0201,0.9336,277.7549,0.5871,0.3668,66.6321
manga109_17_17,31.6071,0.8964,3.6923,0.0564,0.0402,0.8743,336.3172,0.6397,0.3295,68.9764
manga109_18_18,32.3990,0.9487,4.3151,0.0229,0.0242,0.8398,738.4573,0.6006,0.4231,71.7320
