image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
set14_0_0,34.2631,0.9456,4.3501,0.0435,0.0522,0.9143,425.9974,0.7805,0.4791,72.6670
set14_1_1,27.9983,0.8062,3.5416,0.0608,0.0752,0.8292,862.4036,0.7235,0.4860,72.7561
set14_2_2,24.4181,0.5754,3.9177,0.2465,0.1422,0.6293,828.3042,0.3504,0.2306,51.9708
set14_3_3,28.1692,0.9719,5.1826,0.0208,0.0262,0.9322,1639.6778,0.8081,0.5999,76.5214
set14_4_4,27.6326,0.7514,4.8953,0.0932,0.0623,0.7911,584.7620,0.6892,0.4560,61.9498
set14_5_5,32.1506,0.8466,4.7403,0.0793,0.0860,0.9074,256.6832,0.6596,0.3528,68.6924
set14_6_6,26.3585,0.7696,4.1471,0.2393,0.1024,0.6044,477.7867,0.5882,0.2307,66.6013
set14_7_7,31.9049,0.7565,5.5592,0.0754,0.1052,0.9029,202.2186,0.5346,0.3793,55.0872
set14_8_8,24.3133,0.7706,3.8258,0.0832,0.0787,0.7894,1733.8274,0.7747,0.4776,74.2366
set14_9_9,33.8431,0.8580,5.7707,0.0506,0.0661,0.9021,193.1023,0.6803,0.4351,71.2284
set14_10_10,26.8664,0.7219,3.6801,0.1529,0.1232,0.6957,489.0728,0.6034,0.3411,61.7112
set14_11_11,24.9751,0.4942,6.4283,0.1588,0.1165,0.7508,914.6732,0.6635,0.3669,57.0735
set14_12_12,33.3901,0.9227,5.2234,0.0606,0.0723,0.8352,217.6853,0.6319,0.3235,43.4372
set14_13_13,21.6945,0.4929,3.5453,0.1505,0.0983,0.7594,2153.6516,0.7032,0.3754,74.1883
