image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
urban100_0_0,21.5629,0.6918,3.2722,0.1301,0.0778,0.7268,2624.2142,0.8051,0.5530,76.5477
urban100_1_1,28.6804,0.7792,4.3449,0.0759,0.0557,0.7837,992.2160,0.7736,0.5568,70.4474
urban100_2_2,23.3295,0.7734,3.1312,0.1274,0.0761,0.7213,1634.7560,0.7999,0.4578,76.0029
urban100_3_3,23.2093,0.6563,6.8767,0.2836,0.1412,0.6676,1688.5982,0.7517,0.4980,69.8952
urban100_4_4,24.9154,0.8327,3.2797,0.1011,0.0755,0.6387,1288.7893,0.7710,0.5490,76.2956
urban100_5_5,30.3057,0.8586,4.6780,0.0703,0.0742,0.8853,546.5783,0.7199,0.4261,69.9269
urban100_6_6,29.5119,0.9240,7.2192,0.0298,0.0681,0.9110,2441.2627,0.7017,0.5861,72.5337
urban100_7_7,22.7853,0.7346,3.7408,0.1509,0.0931,0.6706,1666.4925,0.7857,0.5390,75.5084
urban100_8_8,19.0335,0.5701,2.2072,0.1267,0.0778,0.7641,5095.0719,0.7452,0.5408,74.8460
urban100_9_9,22.2495,0.6810,1.8732,0.1386,0.0768,0.6945,1571.4100,0.7551,0.4576,74.3625
urban100_10_10,26.0906,0.7729,3.5713,0.1553,0.1217,0.6692,500.2650,0.6873,0.3966,67.4076
urban100_11_11,27.2305,0.7640,4.1305,0.0942,0.1332,0.7030,1741.5338,0.8472,0.5769,73.2893
urban100_12_12,21.8383,0.5949,3.2768,0.1638,0.0831,0.6881,1689.5490,0.7155,0.4580,76.7010
urban100_13_13,33.5405,0.9113,6.6561,0.0442,0.0773,0.9294,642.6462,0.7728,0.5249,68.6412
urban100_14_14,25.9187,0.7624,3.3939,0.1038,0.0698,0.6984,728.6883,0.6527,0.4304,73.4046
urban100_15_15,26.7513,0.8874,3.1884,0.0414,0.0439,0.8715,2524.4788,0.7881,0.6003,75.2287
urban100_16_16,25.3815,0.9162,4.1588,0.0395,0.0497,0.8189,4079.9733,0.7581,0.6117,75.5099
urban100_17_17,26.1341,0.7872,3.1967,0.0971,0.0502,0.8260,848.7111,0.7269,0.3103,64.4678
urban100_18_18,27.2830,0.7582,4.5900,0.1035,0.1065,0.8806,2246.0813,0.7231,0.5290,74.4587
urban100_19_19,31.4721,0.9718,7.2350,0.0207,0.0632,0.9262,2997.4288,0.7725,0.5800,66.7277
