image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
bsd100_0_0,24.5099,0.5645,3.9536,0.2139,0.1328,0.6662,618.1061,0.5162,0.2922,59.7777
bsd100_1_1,24.0380,0.6412,4.6329,0.2001,0.1246,0.6549,717.8745,0.5439,0.2512,58.8894
bsd100_2_2,26.8736,0.7375,4.0772,0.1585,0.0971,0.7938,672.3252,0.6510,0.3787,69.5908
bsd100_3_3,30.0586,0.7586,5.3314,0.1764,0.1301,0.7798,148.2395,0.5641,0.2292,53.9801
bsd100_4_4,24.7504,0.6420,5.7250,0.1982,0.1456,0.7047,503.7044,0.7092,0.3818,67.3334
bsd100_5_5,27.1487,0.7738,3.6235,0.1824,0.1286,0.6617,281.8247,0.5479,0.2684,56.7876
bsd100_6_6,24.6674,0.7530,4.7976,0.1617,0.1331,0.7604,1122.9474,0.6748,0.3726,64.8868
bsd100_7_7,31.4663,0.8014,4.0489,0.1663,0.1175,0.7024,98.7540,0.5891,0.3712,64.7813
bsd100_8_8,25.0250,0.5579,4.0654,0.2180,0.1245,0.6479,405.6069,0.6917,0.3056,67.3585
bsd100_9_9,32.7502,0.9483,5.4736,0.0312,0.0863,0.8312,643.7081,0.7974,0.4877,67.9606
bsd100_10_10,26.9874,0.7060,4.5365,0.1571,0.1177,0.7064,331.2336,0.7020,0.4601,70.1337
bsd100_11_11,19.2343,0.4758,4.6069,0.2840,0.1295,0.6612,2101.5696,0.7644,0.3720,70.4152
bsd100_12_12,26.6794,0.7235,3.7683,0.1754,0.1043,0.7495,446.6646,0.5886,0.2954,58.9265
bsd100_13_13,22.5343,0.6123,4.1763,0.2044,0.1053,0.5918,1155.1173,0.6325,0.2628,70.0410
bsd100_14_14,25.2661,0.6742,3.9075,0.1710,0.0986,0.7224,756.6255,0.7164,0.3435,62.6757
bsd100_15_15,30.3758,0.8296,4.2971,0.1654,0.1262,0.6333,137.3349,0.6974,0.3624,63.1738
bsd100_16_16,24.3012,0.5283,4.2187,0.3240,0.1699,0.5761,411.6961,0.4343,0.3010,51.4925
bsd100_17_17,25.7355,0.6656,4.1958,0.1791,0.1003,0.6820,443.7343,0.7306,0.3607,69.7630
bsd100_18_18,37.4636,0.9640,7.0790,0.0233,0.0544,0.9378,291.5605,0.7384,0.5892,71.5619
bsd100_19_19,27.2850,0.8119,3.9973,0.1389,0.1274,0.5963,405.5196,0.5952,0.2882,57.1729
bsd100_20_20,31.7141,0.8202,5.6943,0.1232,0.1027,0.7774,134.1335,0.7004,0.3791,56.6341
bsd100_21_21,34.4028,0.8852,5.3695,0.0709,0.0711,0.8608,115.2621,0.7708,0.4610,65.0590
bsd100_22_22,31.0761,0.7534,5.6788,0.1290,0.1250,0.7175,139.7838,0.5605,0.3343,55.8417
bsd100_23_23,32.9640,0.8854,4.7368,0.0727,0.1103,0.7542,119.9886,0.7054,0.4205,60.4068
bsd100_24_24,27.9855,0.7233,4.2303,0.1623,0.1114,0.6847,302.9401,0.7005,0.4285,70.1200
bsd100_25_25,33.5374,0.8847,4.8983,0.0843,0.0782,0.8084,118.7264,0.6897,0.4071,60.5759
bsd100_26_26,24.3633,0.7617,4.1290,0.1563,0.1252,0.7072,582.6589,0.6980,0.3429,73.5975
bsd100_27_27,34.4566,0.8598,5.9962,0.1066,0.0960,0.7680,97.4257,0.6159,0.4530,74.4560
bsd100_28_28,28.9832,0.7937,4.9175,0.1032,0.0869,0.7474,405.4300,0.6467,0.3331,65.4569
bsd100_29_29,24.4917,0.6372,3.9947,0.2175,0.1476,0.6995,634.1573,0.6000,0.2380,49.6494
bsd100_30_30,31.3139,0.8258,7.0268,0.1185,0.0931,0.8457,339.4817,0.6342,0.4622,75.4451
bsd100_31_31,29.3707,0.7878,5.0769,0.1605,0.1076,0.6800,162.2548,0.7674,0.3269,58.9534
bsd100_32_32,24.5100,0.5954,4.1730,0.2438,0.1339,0.6159,512.7570,0.6534,0.2666,62.3537
bsd100_33_33,25.4987,0.7866,4.1351,0.1174,0.0907,0.8133,848.4528,0.6779,0.4222,58.0904
bsd100_34_34,28.1943,0.8756,4.2181,0.0931,0.0801,0.6623,405.1300,0.6287,0.2290,59.4258
bsd100_35_35,25.3409,0.5745,5.0426,0.2190,0.1515,0.7105,593.9965,0.6866,0.3200,65.4070
bsd100_36_36,20.5572,0.4214,5.3280,0.3361,0.1769,0.6239,960.6135,0.6314,0.3597,65.4580
bsd100_37_37,20.7412,0.5676,5.9020,0.2018,0.1431,0.6399,1369.4926,0.6157,0.3524,60.6893
bsd100_38_38,27.6074,0.7781,4.2879,0.1267,0.0820,0.7506,573.6787,0.8465,0.4022,65.0760
bsd100_39_39,29.3186,0.7758,4.1298,0.1844,0.0923,0.6658,191.1856,0.6613,0.2998,56.5186
bsd100_40_40,30.7369,0.7637,4.6511,0.1433,0.1164,0.7757,220.5992,0.7261,0.4565,72.4701
bsd100_41_41,20.2933,0.5964,3.8434,0.2541,0.1679,0.6173,1636.8144,0.6787,0.4396,60.7180
bsd100_42_42,25.8498,0.7290,3.6996,0.1368,0.0917,0.7354,721.1786,0.6203,0.3722,69.0340
bsd100_43_43,22.8137,0.4141,4.8377,0.2831,0.1283,0.6842,800.5962,0.6362,0.3396,71.9188
bsd100_44_44,25.1520,0.6487,6.3907,0.2203,0.1616,0.5824,269.8703,0.6301,0.3069,56.5503
bsd100_45_45,24.5855,0.6085,4.2025,0.2208,0.1614,0.5854,406.9461,0.6443,0.2842,64.8102
bsd100_46_46,25.2103,0.7283,4.3850,0.1643,0.1349,0.6850,644.1378,0.7190,0.3102,58.9620
bsd100_47_47,27.3308,0.7194,4.1266,0.1959,0.1175,0.7034,328.6490,0.5973,0.2782,61.1043
bsd100_48_48,22.4184,0.6354,3.8253,0.2438,0.1271,0.5893,887.1732,0.6461,0.2388,53.8125
bsd100_49_49,32.0148,0.7767,5.3256,0.1489,0.1122,0.7722,82.7463,0.6022,0.4159,57.7267
bsd100_50_50,27.6811,0.7649,3.8321,0.1277,0.0903,0.7309,498.3350,0.5899,0.3219,66.2895
bsd100_51_51,32.2238,0.8347,5.6007,0.1049,0.1077,0.7430,132.1981,0.7002,0.3891,67.0696
bsd100_52_52,34.3953,0.9495,6.7469,0.0496,0.0724,0.8655,456.4901,0.6242,0.4661,68.8779
bsd100_53_53,21.8960,0.7039,3.3199,0.1302,0.1044,0.7734,1689.9200,0.6971,0.3736,66.2317
bsd100_54_54,26.0469,0.7274,3.6430,0.1472,0.1174,0.6149,528.9519,0.6602,0.3594,61.0424
