image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
manga109_0_0,34.4784,0.9587,4.6361,0.0183,0.0204,0.9303,647.9276,0.6987,0.4341,73.8201
manga109_1_1,29.0056,0.9601,5.6542,0.0400,0.0255,0.8816,2100.7228,0.7106,0.5135,61.0397
manga109_2_2,36.1271,0.9803,4.7622,0.0166,0.0199,0.9201,382.4669,0.5913,0.3303,58.3566
manga109_3_3,31.7113,0.8508,3.8790,0.0591,0.0335,0.8559,327.9688,0.5886,0.3320,65.8998
manga109_4_4,21.0817,0.7537,2.7022,0.0620,0.0431,0.8437,6083.3784,0.6474,0.4697,68.7883
manga109_5_5,37.9941,0.9863,6.5294,0.0077,0.0112,0.9340,275.4818,0.6325,0.3828,72.8473
manga109_6_6,36.2910,0.9412,4.5150,0.0499,0.0324,0.8599,121.3379,0.6396,0.3622,59.4338
manga109_7_7,37.2456,0.9712,5.4144,0.0296,0.0301,0.9238,343.3488,0.5997,0.4347,65.0828
manga109_8_8,30.1107,0.7715,2.9487,0.0627,0.0286,0.8552,382.1658,0.5993,0.2994,53.6063
manga109_9_9,29.6916,0.9148,4.1221,0.0236,0.0328,0.9409,1642.4140,0.7220,0.5015,71.0564
manga109_10_10,27.9717,0.8599,3.9427,0.0519,0.0268,0.9065,1596.7090,0.6983,0.3819,64.8333
manga109_11_11,32.7260,0.9608,4.5864,0.0209,0.0246,0.9431,965.9012,0.6205,0.4736,74.9248
manga109_12_12,32.7913,0.8764,3.8558,0.0322,0.0213,0.9432,1041.4294,0.6512,0.4100,71.9388
manga109_13_13,20.7878,0.7730,3.6460,0.1016,0.0479,0.8064,5133.3857,0.6782,0.4944,74.1959
manga109_14_14,33.5459,0.9319,4.3753,0.0235,0.0201,0.9035,610.5010,0.6306,0.4494,75.6403
manga109_15_15,28.6302,0.8737,3.4401,0.0741,0.0521,0.8472,1085.7457,0.6106,0.3838,66.3802
manga109_16_16,36.8138,0.9453,4.4189,0.0231,0.0193,0.9316,265.8400,0.5860,0.3546,65.9554
manga109_17_17,31.6439,0.8967,4.0873,0.0652,0.0422,0.8564,284.0947,0.6182,0.3095,68.2900
manga109_18_18,32.4655,0.9483,4.1200,0.0245,0.0254,0.8353,655.6896,0.6011,0.4087,70.3592
manga109_19_19,27.2255,0.9301,6.3737,0.0370,0.0563,0.8981,1892.0415,0.5226,0.5151,51.3927
manga109_20_20,23.7925,0.8115,3.6764,0.0933,0.0409,0.6295,3158.5371,0.7198,0.5794,76.9719
manga109_21_21,41.9476,0.9837,5.4717,0.0072,0.0202,0.9542,144.9985,0.6384,0.3764,59.1781
manga109_22_22,33.2464,0.8992,3.6084,0.0501,0.0327,0.9048,318.9999,0.5415,0.3536,60.0033
manga109_23_23,34.8987,0.9651,5.2902,0.0119,0.0163,0.9222,461.8448,0.7118,0.3832,70.0067
manga109_24_24,33.6034,0.9614,4.3187,0.0162,0.0163,0.9394,826.4616,0.6666,0.3760,59.2652
manga109_25_25,28.1976,0.6967,3.1122,0.0683,0.0400,0.8357,977.1572,0.6847,0.4228,73.5786
manga109_26_26,31.6165,0.8497,4.1428,0.0559,0.0548,0.8973,802.6497,0.6377,0.4310,63.5063
manga109_27_27,32.2528,0.9411,3.9876,0.0350,0.0176,0.9269,749.3274,0.5753,0.3637,61.2814
manga109_28_28,31.2225,0.9178,4.6625,0.0338,0.0214,0.9051,799.6237,0.6130,0.4230,64.5440
manga109_29_29,32.3886,0.8536,4.2545,0.0886,0.0435,0.8469,211.5070,0.5607,0.3097,60.5350
manga109_30_30,28.2769,0.9615,4.6831,0.0204,0.0302,0.9171,3050.5494,0.6982,0.5393,73.0647
manga109_31_31,34.3216,0.9482,4.0791,0.0289,0.0254,0.9173,407.2598,0.6550,0.3739,68.2817
manga109_32_32,31.7548,0.9425,4.0296,0.0365,0.0232,0.8929,584.5976,0.6326,0.3419,64.6381
manga109_33_33,30.7747,0.8810,3.3632,0.0445,0.0259,0.8434,677.0237,0.7145,0.4195,72.7047
