image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
set14_0_0,34.2228,0.9452,4.3249,0.0486,0.0515,0.9074,391.5402,0.7738,0.4782,72.0820
set14_1_1,28.3370,0.8133,3.6985,0.0668,0.0725,0.8205,711.8468,0.6970,0.4609,71.1289
set14_2_2,24.7764,0.5946,4.2304,0.2312,0.1508,0.6191,493.7361,0.3320,0.2079,49.5719
set14_3_3,27.7928,0.9716,5.2178,0.0205,0.0260,0.9323,1550.6778,0.8122,0.5877,76.4823
set14_4_4,27.7664,0.7588,5.1353,0.0950,0.0621,0.7875,527.7064,0.6673,0.4514,63.0063
set14_5_5,32.2907,0.8488,5.3645,0.0838,0.0841,0.8992,226.6775,0.6389,0.3453,67.8521
set14_6_6,26.2654,0.7706,4.4769,0.2410,0.1020,0.5991,441.6952,0.5593,0.2255,66.5936
set14_7_7,32.2090,0.7673,6.6412,0.0922,0.1201,0.8910,150.2570,0.5334,0.3541,55.4144
set14_8_8,24.5662,0.7745,4.2649,0.0862,0.0844,0.7775,1408.1026,0.7718,0.4382,72.7849
set14_9_9,33.9449,0.8606,6.3080,0.0567,0.0649,0.9011,182.7998,0.6645,0.4374,70.9038
set14_10_10,27.0433,0.7291,3.9658,0.1648,0.1269,0.6807,386.3359,0.5616,0.3304,61.9572
set14_11_11,25.3349,0.5129,5.1245,0.1726,0.1179,0.7368,568.8293,0.6233,0.3234,52.4130
set14_12_12,33.5610,0.9249,5.4704,0.0693,0.0698,0.8201,200.2077,0.5924,0.3249,41.4930
set14_13_13,22.2331,0.5081,3.4268,0.1887,0.1028,0.7381,1230.1823,0.6359,0.3334,73.0524
