image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
urban100_0_0,21.6878,0.6930,3.6746,0.1453,0.0853,0.6912,2185.4530,0.8121,0.5149,76.5993
urban100_1_1,28.7411,0.7828,4.8055,0.0857,0.0597,0.7625,869.6427,0.7777,0.5325,70.1822
urban100_2_2,23.3141,0.7714,3.5757,0.1331,0.0777,0.7241,1526.1207,0.7903,0.4443,75.9995
urban100_3_3,23.2390,0.6546,7.1148,0.2885,0.1400,0.6677,1632.6937,0.7461,0.4834,69.5054
urban100_4_4,24.9834,0.8304,3.4935,0.1082,0.0773,0.6276,996.1630,0.7622,0.5262,75.9435
urban100_5_5,30.3385,0.8580,4.9484,0.0750,0.0754,0.8813,526.2259,0.6920,0.4244,68.8934
urban100_6_6,29.3380,0.9213,7.8133,0.0320,0.0693,0.9110,2409.8116,0.6930,0.5808,72.9407
urban100_7_7,22.8771,0.7335,3.9089,0.1607,0.0952,0.6644,1552.1691,0.7805,0.5404,75.4734
urban100_8_8,19.4955,0.5831,2.5834,0.1458,0.0822,0.7262,3576.3326,0.7430,0.4938,74.7990
urban100_9_9,22.6141,0.6857,2.1904,0.1638,0.0811,0.6601,1022.1625,0.7373,0.4314,73.8216
urban100_10_10,26.2088,0.7734,4.0762,0.1728,0.1315,0.6511,405.2211,0.6596,0.3679,66.8177
urban100_11_11,27.1910,0.7623,4.3875,0.0947,0.1340,0.7062,1669.5139,0.8412,0.5798,73.3265
urban100_12_12,22.1462,0.5998,4.2322,0.2074,0.0938,0.6579,1065.9599,0.6898,0.4190,76.7026
urban100_13_13,33.3002,0.9102,7.0086,0.0491,0.0785,0.9250,596.3083,0.7507,0.5166,68.4155
urban100_14_14,26.1119,0.7661,3.8008,0.1121,0.0715,0.6805,603.3810,0.6570,0.4050,72.2950
urban100_15_15,26.9211,0.8873,3.2260,0.0429,0.0478,0.8672,2219.7472,0.7798,0.5879,75.1833
urban100_16_16,25.4319,0.9159,3.8644,0.0404,0.0506,0.8083,3913.4580,0.7550,0.6124,75.4573
urban100_17_17,26.2972,0.7900,3.6310,0.0995,0.0512,0.8147,773.7585,0.7133,0.3131,63.7818
urban100_18_18,27.2486,0.7571,4.9979,0.1168,0.1087,0.8771,2176.5823,0.7434,0.5307,74.4773
urban100_19_19,31.3627,0.9708,7.2576,0.0212,0.0601,0.9221,3096.3871,0.7759,0.5849,66.4647
urban100_20_20,25.0442,0.8000,3.6197,0.0914,0.0682,0.7218,1083.4830,0.7277,0.4991,76.9312
urban100_21_21,22.8173,0.8423,4.6574,0.0861,0.0668,0.7155,4622.0197,0.8277,0.6317,77.0680
urban100_22_22,30.1575,0.8726,4.1622,0.0844,0.0520,0.7924,343.9480,0.7190,0.3229,72.0034
urban100_23_23,31.0567,0.9290,3.8180,0.0318,0.0642,0.9094,1122.8573,0.7997,0.5676,73.4210
urban100_24_24,34.8317,0.9500,7.2761,0.0251,0.0416,0.9132,494.1754,0.6312,0.4964,68.6759
urban100_25_25,30.1001,0.8969,6.4868,0.0855,0.0853,0.8439,705.2225,0.7279,0.4400,64.2654
urban100_26_26,23.0189,0.6264,5.6471,0.1879,0.1640,0.6866,2390.3899,0.6684,0.4395,69.1148
urban100_27_27,24.1938,0.8076,3.2404,0.1056,0.0585,0.7401,1225.6136,0.6944,0.4237,67.3352
urban100_28_28,27.6035,0.8132,4.0266,0.0901,0.0472,0.7185,634.5472,0.7109,0.3810,71.9214
urban100_29_29,22.2377,0.7605,3.7658,0.1160,0.0733,0.7230,2340.0941,0.7549,0.4556,74.3008
urban100_30_30,28.3460,0.6572,4.9253,0.1141,0.0723,0.8299,708.6451,0.6707,0.4693,65.6654
urban100_31_31,32.0489,0.9328,4.3954,0.0315,0.0378,0.8802,488.6467,0.7113,0.4288,65.6079
urban100_32_32,25.1390,0.8214,3.3847,0.1040,0.0758,0.7329,1443.5796,0.4760,0.3279,53.3369
urban100_33_33,26.7618,0.7353,3.5153,0.1546,0.0730,0.7321,466.0718,0.6647,0.3320,73.7940
urban100_34_34,23.0247,0.7584,2.9200,0.1433,0.0696,0.7146,2277.9589,0.7118,0.4928,67.9243
urban100_35_35,28.3895,0.9039,4.0694,0.0397,0.0649,0.8804,1802.7002,0.7567,0.5453,73.1031
urban100_36_36,29.5461,0.8309,3.3786,0.1049,0.0704,0.7702,397.1730,0.5483,0.3061,61.4131
urban100_37_37,24.4576,0.7275,3.6877,0.1401,0.0993,0.7552,1546.7265,0.7003,0.5217,71.9537
urban100_38_38,28.7418,0.9254,4.9407,0.0423,0.0697,0.7724,1626.4098,0.7216,0.5423,76.3412
urban100_39_39,25.2143,0.7826,3.6202,0.1200,0.0615,0.7327,857.6116,0.6645,0.4011,67.9298
urban100_40_40,28.3878,0.9064,3.7031,0.0521,0.0569,0.8549,1533.8268,0.7149,0.5002,72.0133
urban100_41_41,25.9901,0.6983,3.5381,0.1563,0.0468,0.7245,645.5691,0.7154,0.4108,73.9021
urban100_42_42,32.2986,0.9135,7.5574,0.0521,0.0563,0.9094,631.7965,0.7346,0.4789,68.9445
urban100_43_43,25.8155,0.8030,3.8767,0.1124,0.0690,0.7090,988.8640,0.7592,0.4721,76.1785
urban100_44_44,41.6223,0.9833,6.2281,0.0142,0.0388,0.9477,177.1827,0.6230,0.4842,68.3512
urban100_45_45,29.6246,0.9207,4.4374,0.0682,0.0825,0.7135,395.3828,0.5935,0.3508,70.6194
urban100_46_46,33.2088,0.8966,4.5126,0.1092,0.0984,0.7746,237.3459,0.5347,0.3828,60.0086
urban100_47_47,34.5106,0.9417,6.7073,0.0467,0.0450,0.9326,374.2197,0.6500,0.4411,71.6128
urban100_48_48,24.2024,0.8637,5.7173,0.0735,0.0738,0.7265,4286.1503,0.7259,0.5683,75.0847
urban100_49_49,23.6471,0.8299,4.5258,0.0919,0.0905,0.7751,3117.3174,0.7139,0.5404,73.1946
urban100_50_50,27.7811,0.7087,4.5942,0.0975,0.0774,0.7695,966.0926,0.6543,0.4797,65.3970
urban100_51_51,20.4146,0.7345,5.0641,0.1838,0.1083,0.6741,5956.4213,0.7704,0.6053,69.8502
urban100_52_52,20.4786,0.4950,4.5226,0.2269,0.1194,0.6231,2544.9136,0.5992,0.4510,66.8973
urban100_53_53,37.2969,0.9637,6.1412,0.0396,0.0451,0.8587,79.1986,0.5917,0.4337,72.7569
urban100_54_54,29.3587,0.8049,3.4676,0.1215,0.0788,0.6865,570.9960,0.5803,0.3783,66.8002
urban100_55_55,31.0660,0.9331,4.5192,0.0327,0.0421,0.9178,1441.9971,0.7728,0.5648,75.3162
urban100_56_56,24.5421,0.7925,2.9097,0.1001,0.0754,0.7783,2006.3451,0.7893,0.5331,72.4430
urban100_57_57,36.4349,0.9506,4.8371,0.0496,0.0522,0.8653,168.4776,0.6779,0.4286,71.3922
urban100_58_58,31.7970,0.9024,5.0241,0.0803,0.0580,0.7390,231.9687,0.6768,0.3686,65.8105
urban100_59_59,25.9947,0.7132,3.7927,0.1640,0.0914,0.6807,696.7368,0.6840,0.3795,73.1616
urban100_60_60,39.8685,0.9769,9.9607,0.0062,0.0178,0.9550,492.0813,0.6552,0.4986,71.4075
urban100_61_61,27.7050,0.7992,3.0460,0.1329,0.0553,0.7541,498.4418,0.6649,0.3760,64.9414
urban100_62_62,33.4394,0.9420,6.0303,0.0268,0.0615,0.9273,988.4775,0.5080,0.3667,53.5179
urban100_63_63,24.8119,0.8343,3.6702,0.0754,0.0822,0.7720,2796.6568,0.7810,0.5472,75.8733
urban100_64_64,22.2605,0.7411,4.5860,0.1063,0.0752,0.7362,3529.8507,0.7273,0.5400,72.3353
urban100_65_65,23.1534,0.8969,4.2894,0.0607,0.0712,0.7979,3595.8217,0.7569,0.5847,75.0326
urban100_66_66,26.4389,0.8023,8.8386,0.0648,0.1199,0.7887,1456.9712,0.6942,0.5043,61.2234
urban100_67_67,30.2763,0.9207,7.4414,0.0595,0.0667,0.8602,1373.9875,0.7666,0.5368,69.8633
urban100_68_68,30.9227,0.9219,6.0822,0.0499,0.0821,0.8868,650.3199,0.7053,0.4680,73.5067
urban100_69_69,26.7539,0.8642,3.5590,0.0717,0.0621,0.8090,880.9479,0.6919,0.4186,77.2796
urban100_70_70,33.3235,0.9317,3.3877,0.0450,0.0565,0.9106,655.1665,0.6761,0.5266,77.0127
urban100_71_71,28.5603,0.8669,4.6501,0.0769,0.0790,0.8189,1008.2384,0.6679,0.4469,70.3838
urban100_72_72,25.1744,0.7953,2.4443,0.0867,0.0655,0.7867,1286.4402,0.6982,0.4670,63.5977
urban100_73_73,32.6990,0.9709,7.4127,0.0289,0.0317,0.9395,1207.6000,0.7006,0.5725,73.2110
urban100_74_74,22.8685,0.6710,4.6656,0.2074,0.1056,0.5888,974.0617,0.5930,0.3918,66.6314
urban100_75_75,29.8188,0.8871,3.8271,0.0689,0.0839,0.7447,1383.2831,0.7663,0.6050,74.0038
urban100_76_76,28.1721,0.8586,3.8144,0.0549,0.0703,0.8047,2019.4931,0.6447,0.5077,73.5740
urban100_77_77,25.8647,0.8162,3.3395,0.0842,0.0713,0.7315,1119.3341,0.7369,0.4977,76.2934
urban100_78_78,23.2255,0.5933,2.4553,0.1343,0.0828,0.7815,1825.3823,0.7811,0.5241,70.7673
urban100_79_79,26.0325,0.8531,4.6714,0.0795,0.0838,0.7518,2088.3373,0.7520,0.6128,73.9842
urban100_80_80,30.4019,0.7904,4.6170,0.1092,0.0835,0.7805,238.2119,0.6641,0.3437,60.7490
urban100_81_81,21.7180,0.6491,4.0856,0.2682,0.0918,0.5929,1529.8848,0.6194,0.3376,65.5409
urban100_82_82,28.5549,0.6699,6.3070,0.2166,0.1594,0.7276,701.3217,0.7038,0.4827,70.8736
urban100_83_83,27.4008,0.9156,3.8134,0.0507,0.0449,0.7758,1530.8077,0.6735,0.5032,72.9467
urban100_84_84,27.8324,0.8578,4.0504,0.0709,0.0457,0.8052,726.5114,0.6574,0.4182,76.1851
urban100_85_85,24.1694,0.7082,3.0702,0.1395,0.0716,0.7264,1328.1958,0.7729,0.4884,70.5378
urban100_86_86,26.5294,0.8341,3.1879,0.1167,0.0620,0.7147,1177.1995,0.7126,0.4408,70.2616
urban100_87_87,33.1531,0.9219,4.7957,0.0276,0.0539,0.9169,903.6629,0.6787,0.5324,72.8542
urban100_88_88,34.6326,0.9326,5.9572,0.0170,0.0513,0.9516,2320.3641,0.7003,0.5164,63.9630
urban100_89_89,21.5148,0.8923,5.6014,0.0715,0.0974,0.7030,2756.5347,0.6958,0.4745,68.0422
urban100_90_90,35.9413,0.9403,5.4961,0.0361,0.0479,0.8781,272.2202,0.5992,0.4361,69.1659
urban100_91_91,28.9108,0.8075,4.4947,0.1529,0.0839,0.7155,366.1796,0.7284,0.5111,73.5875
urban100_92_92,22.4732,0.8886,4.2530,0.0446,0.1024,0.8372,6976.5431,0.7660,0.5843,63.8562
urban100_93_93,22.1409,0.7369,2.6276,0.1114,0.0648,0.7212,2394.2040,0.7173,0.4344,73.2669
urban100_94_94,33.7617,0.9033,4.2476,0.0497,0.0600,0.9084,508.8002,0.7590,0.5806,77.5997
urban100_95_95,31.6016,0.9089,5.8176,0.0415,0.0554,0.9078,1110.8735,0.7736,0.5694,74.7905
urban100_96_96,22.8380,0.6050,1.8679,0.1945,0.1035,0.5748,1618.3044,0.7639,0.4601,74.6737
urban100_97_97,20.9519,0.5873,3.0572,0.1852,0.0790,0.6939,2490.6020,0.7931,0.4971,74.4568
urban100_98_98,30.4442,0.8886,3.9942,0.0626,0.0551,0.8040,780.0111,0.5616,0.3577,71.8384
urban100_99_99,21.7002,0.9251,5.2252,0.0365,0.0522,0.9083,4883.0970,0.7564,0.5904,74.2262
