image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
bsd100_0_0,23.7953,0.5470,3.4763,0.1822,0.1247,0.7106,1161.5382,0.5252,0.2957,63.4542
bsd100_1_1,23.6297,0.6331,3.7156,0.1708,0.1182,0.7091,1085.5676,0.5071,0.2651,61.4226
bsd100_2_2,26.3171,0.7206,3.7545,0.1418,0.0927,0.8238,964.5175,0.6707,0.3909,72.1706
bsd100_3_3,29.6169,0.7456,4.6445,0.1589,0.1229,0.8286,239.0652,0.5865,0.2406,58.3461
bsd100_4_4,24.1465,0.6251,4.9319,0.1743,0.1539,0.7705,910.7274,0.6730,0.4025,68.8188
bsd100_5_5,26.7159,0.7678,3.5880,0.1558,0.1190,0.7093,458.3249,0.5889,0.2903,59.8092
bsd100_6_6,24.0557,0.7398,4.0952,0.1524,0.1329,0.7765,1553.5506,0.6744,0.4174,69.8117
bsd100_7_7,31.1063,0.7931,3.5900,0.1384,0.1093,0.7485,161.1042,0.6392,0.3793,67.7148
bsd100_8_8,24.4845,0.5400,3.3473,0.1825,0.1184,0.7056,724.0967,0.6574,0.3062,71.2085
bsd100_9_9,32.1087,0.9443,6.2239,0.0288,0.0876,0.8393,802.5133,0.8027,0.5113,69.8531
bsd100_10_10,26.5496,0.7020,4.2821,0.1342,0.1109,0.7761,529.9624,0.7398,0.4514,72.5959
bsd100_11_11,18.3787,0.4579,4.7298,0.2221,0.1149,0.7562,4448.6815,0.7110,0.4207,73.2167
bsd100_12_12,26.0921,0.7098,3.5360,0.1417,0.0940,0.7905,739.2994,0.6121,0.3194,62.2602
bsd100_13_13,21.9952,0.5963,3.3491,0.1748,0.0979,0.6363,1819.2436,0.5960,0.2904,71.3177
bsd100_14_14,24.6794,0.6587,3.6545,0.1541,0.0949,0.7558,1161.2123,0.6594,0.3349,65.4169
bsd100_15_15,30.0104,0.8234,3.5325,0.1438,0.1140,0.6726,207.9332,0.7491,0.3766,65.1851
bsd100_16_16,23.7771,0.5138,4.1838,0.2813,0.1573,0.6474,801.8432,0.4679,0.3032,56.3662
bsd100_17_17,24.9792,0.6485,3.5858,0.1385,0.0920,0.7481,823.7477,0.7205,0.3677,70.3201
bsd100_18_18,37.3594,0.9632,6.5604,0.0228,0.0536,0.9395,345.5196,0.7655,0.6030,71.9946
bsd100_19_19,26.7905,0.8022,3.8769,0.1289,0.1216,0.6864,605.2299,0.5957,0.3079,62.5116
bsd100_20_20,31.1889,0.8077,5.0069,0.0966,0.1027,0.8321,224.8661,0.6770,0.3957,62.8462
