image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
manga109_0_0,34.2861,0.9568,4.5183,0.0169,0.0192,0.9369,726.7646,0.6702,0.4417,73.8418
manga109_1_1,28.7120,0.9563,4.2578,0.0334,0.0289,0.8903,2142.5635,0.6891,0.5111,61.8903
manga109_2_2,36.0683,0.9771,4.9507,0.0160,0.0202,0.9255,373.3455,0.5723,0.3253,57.3977
manga109_3_3,31.2115,0.8420,3.6202,0.0545,0.0334,0.8689,425.9397,0.5869,0.3438,67.6046
manga109_4_4,20.5137,0.7424,2.8703,0.0632,0.0424,0.8623,7727.7021,0.6070,0.4719,68.7589
manga109_5_5,37.5734,0.9822,5.5119,0.0077,0.0206,0.9377,332.6727,0.6136,0.3861,73.2902
manga109_6_6,35.9854,0.9370,4.5007,0.0434,0.0280,0.8796,141.2169,0.6525,0.3667,60.8542
manga109_7_7,37.1481,0.9698,5.9315,0.0274,0.0278,0.9264,358.0824,0.6156,0.4365,65.0127
manga109_8_8,28.9284,0.7369,2.3004,0.0615,0.0283,0.8597,632.7397,0.5808,0.3206,55.3969
manga109_9_9,29.3764,0.9103,4.3957,0.0241,0.0288,0.9418,1820.3765,0.6834,0.4966,70.3341
manga109_10_10,27.5942,0.8590,3.9627,0.0472,0.0263,0.9127,1853.8074,0.6760,0.3859,63.5860
manga109_11_11,32.6557,0.9590,4.6529,0.0198,0.0226,0.9435,992.1420,0.6179,0.4684,74.5603
manga109_12_12,32.3575,0.8615,3.5325,0.0321,0.0196,0.9440,1108.7078,0.6368,0.4209,71.5821
manga109_13_13,20.3326,0.7626,4.0235,0.1090,0.0484,0.8055,6395.7533,0.6218,0.4785,74.6823
manga109_14_14,33.1350,0.9275,4.3367,0.0222,0.0230,0.9098,667.0944,0.6067,0.4517,75.7290
manga109_15_15,28.4677,0.8719,3.4985,0.0675,0.0498,0.8658,1227.0035,0.5905,0.3937,67.1497
manga109_16_16,36.4314,0.9376,4.2223,0.0234,0.0201,0.9351,311.8686,0.5823,0.3650,66.0256
manga109_17_17,31.5105,0.8946,4.2985,0.0545,0.0387,0.8901,363.4968,0.6412,0.3270,68.8480
manga109_18_18,32.0546,0.9446,3.8328,0.0235,0.0265,0.8585,771.2160,0.5794,0.4150,71.5826
manga109_19_19,26.3030,0.9179,6.8939,0.0333,0.0478,0.8880,2017.3024,0.5271,0.5114,50.2886
manga109_20_20,23.4753,0.8131,3.7131,0.0921,0.0392,0.7161,3825.8397,0.7168,0.5875,76.6099
manga109_21_21,41.4245,0.9776,6.8699,0.0078,0.0220,0.9521,188.1037,0.5915,0.3681,58.8199
manga109_22_22,32.9862,0.8947,3.4896,0.0469,0.0321,0.9138,364.7344,0.5466,0.3612,59.9542
manga109_23_23,34.8509,0.9613,4.8583,0.0117,0.0182,0.9274,487.6341,0.6959,0.3893,69.8804
manga109_24_24,33.3196,0.9573,4.0838,0.0155,0.0166,0.9417,889.4985,0.6625,0.3777,59.3190
manga109_25_25,27.1177,0.6636,2.4789,0.0653,0.0337,0.8781,1424.4395,0.6859,0.4413,74.5000
manga109_26_26,31.3835,0.8406,3.1832,0.0516,0.0569,0.9081,860.3299,0.6082,0.4340,63.5153
manga109_27_27,31.9987,0.9394,3.8857,0.0310,0.0166,0.9324,831.5167,0.5619,0.3667,61.9799
manga109_28_28,30.8508,0.9085,5.1797,0.0339,0.0252,0.9114,957.1652,0.5949,0.4245,63.0477
manga109_29_29,31.9907,0.8434,4.0732,0.0757,0.0403,0.8794,268.5456,0.5504,0.3192,60.8326
manga109_30_30,28.1038,0.9583,4.2569,0.0196,0.0315,0.9184,3268.1489,0.6654,0.5354,72.6571
manga109_31_31,34.0638,0.9461,4.0514,0.0270,0.0238,0.9239,438.8871,0.6260,0.3757,68.6458
manga109_32_32,31.4571,0.9393,3.9201,0.0335,0.0208,0.9031,665.1422,0.6275,0.3445,64.2851
manga109_33_33,30.3644,0.8759,3.2908,0.0398,0.0245,0.8757,816.7062,0.6945,0.4257,72.9797
manga109_34_34,32.4194,0.9010,3.8662,0.0371,0.0234,0.9108,553.9791,0.6436,0.3729,60.9457
manga109_35_35,30.0041,0.9279,4.0125,0.0354,0.0238,0.9231,1019.9722,0.6318,0.3730,72.2367
manga109_36_36,36.3788,0.9618,4.6360,0.0179,0.0199,0.9331,342.3230,0.5452,0.3905,64.9896
manga109_37_37,26.4838,0.8679,3.5308,0.0525,0.0310,0.8371,1236.7659,0.6145,0.3796,60.9674
manga109_38_38,31.1327,0.9145,3.8228,0.0317,0.0213,0.9131,751.8258,0.6543,0.3868,66.8088
manga109_39_39,35.0502,0.9794,4.3084,0.0088,0.0360,0.9301,590.3706,0.5913,0.4084,66.3861
manga109_40_40,35.1517,0.9558,4.5639,0.0193,0.0250,0.9383,342.0023,0.6224,0.4159,68.5902
manga109_41_41,28.9090,0.9202,4.6781,0.0353,0.0215,0.9116,1046.2859,0.5753,0.3466,71.2588
manga109_42_42,36.8592,0.9721,4.9490,0.0138,0.0144,0.9449,475.4740,0.5445,0.3585,69.0562
manga109_43_43,25.1859,0.9188,4.1979,0.0425,0.0620,0.7887,2055.4124,0.6529,0.4181,63.9945
manga109_44_44,29.0798,0.7960,3.0842,0.0864,0.0586,0.8633,1424.9728,0.6359,0.3800,62.9421
manga109_45_45,33.2783,0.9418,4.2717,0.0194,0.0160,0.9390,723.2196,0.6475,0.4263,73.1200
