image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
set14_0_0,34.1360,0.9443,4.3174,0.0419,0.0503,0.9150,451.5170,0.7882,0.4829,72.6461
set14_1_1,27.6637,0.7991,3.5930,0.0633,0.0761,0.8369,1012.8864,0.6813,0.4865,73.6987
set14_2_2,23.9486,0.5654,3.5679,0.2072,0.1503,0.6920,1086.8869,0.3437,0.2259,53.6772
set14_3_3,27.6855,0.9683,5.0151,0.0209,0.0299,0.9322,1631.5943,0.7746,0.5887,76.4535
set14_4_4,27.3314,0.7454,5.1143,0.0751,0.0560,0.8328,686.4446,0.6063,0.4574,62.6565
set14_5_5,31.7931,0.8422,4.2745,0.0772,0.0830,0.9091,314.0196,0.6739,0.3568,68.7628
set14_6_6,25.9591,0.7657,4.0921,0.2354,0.0987,0.5998,599.7929,0.6138,0.2355,67.7026
set14_7_7,31.6296,0.7473,5.6173,0.0723,0.1074,0.9043,244.1420,0.5025,0.3677,57.2904
set14_8_8,24.0348,0.7678,4.0901,0.0780,0.0790,0.7930,1923.0502,0.7587,0.4687,74.6106
set14_9_9,33.7910,0.8578,5.4457,0.0514,0.0658,0.9090,209.0984,0.6640,0.4389,71.7202
set14_10_10,26.5800,0.7178,3.6255,0.1434,0.1230,0.7191,580.8571,0.5687,0.3213,61.5551
set14_11_11,24.2912,0.4773,6.3789,0.1394,0.1163,0.7712,1171.2119,0.6431,0.3851,60.0320
set14_12_12,33.3467,0.9227,5.1893,0.0642,0.0742,0.8436,223.6531,0.5794,0.3291,43.8825
set14_13_13,21.2841,0.4932,3.6098,0.1614,0.1030,0.7738,2565.3016,0.7061,0.3695,74.6734
