image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
urban100_0_0,21.1130,0.6836,3.4791,0.1199,0.0813,0.7314,3343.8897,0.8029,0.5420,76.7735
urban100_1_1,28.4483,0.7733,3.8222,0.0705,0.0515,0.8145,1136.2169,0.7754,0.5481,71.5970
urban100_2_2,23.0742,0.7680,3.3589,0.1197,0.0734,0.7553,1911.7445,0.7805,0.4608,76.6353
urban100_3_3,23.1458,0.6541,6.8224,0.2748,0.1402,0.6632,1858.0908,0.7400,0.4911,69.3849
urban100_4_4,24.7438,0.8323,3.6181,0.0968,0.0763,0.6305,1530.3020,0.7551,0.5504,76.5719
urban100_5_5,30.1799,0.8565,4.6316,0.0696,0.0727,0.8931,596.2615,0.6841,0.4245,70.0844
urban100_6_6,29.2593,0.9205,6.5440,0.0305,0.0659,0.9170,2534.8422,0.6826,0.5838,73.3567
urban100_7_7,22.7078,0.7342,4.2547,0.1452,0.0927,0.6899,1857.5064,0.7691,0.5381,75.7384
urban100_8_8,18.6384,0.5607,2.6430,0.1243,0.0815,0.7651,5974.8417,0.7437,0.5280,75.2321
urban100_9_9,21.9766,0.6800,2.2643,0.1346,0.0765,0.7122,1907.7785,0.7659,0.4537,75.3174
urban100_10_10,25.8857,0.7723,3.8268,0.1515,0.1207,0.6871,615.5816,0.6876,0.3859,68.3893
urban100_11_11,27.0739,0.7575,4.3631,0.0887,0.1289,0.7086,1885.7045,0.8328,0.5767,73.3909
urban100_12_12,21.5567,0.5927,3.8835,0.1497,0.0829,0.7022,2062.7086,0.7084,0.4400,76.9602
urban100_13_13,33.3654,0.9078,6.7784,0.0410,0.0721,0.9296,677.4976,0.7852,0.5245,68.8093
urban100_14_14,25.6358,0.7565,3.4104,0.0969,0.0658,0.7115,884.9070,0.6406,0.4272,74.1790
urban100_15_15,26.4491,0.8826,3.3307,0.0412,0.0418,0.8655,2847.8957,0.7587,0.5960,75.3442
urban100_16_16,25.2694,0.9149,3.9539,0.0370,0.0484,0.8420,4300.8466,0.7196,0.6061,75.3529
urban100_17_17,25.6034,0.7783,3.0155,0.0925,0.0512,0.8379,1069.9053,0.7044,0.3169,64.7253
urban100_18_18,27.1095,0.7540,5.0110,0.1112,0.1055,0.8802,2457.1163,0.7185,0.5266,74.1290
urban100_19_19,31.0223,0.9683,7.1186,0.0223,0.0651,0.9217,3008.9284,0.7516,0.5729,66.4036
urban100_20_20,24.8307,0.8019,3.6330,0.0777,0.0644,0.7534,1444.8637,0.7445,0.5057,77.3089
urban100_21_21,22.6006,0.8453,4.4509,0.0830,0.0628,0.7478,5629.2910,0.8357,0.6500,77.2197
urban100_22_22,29.9492,0.8687,3.9553,0.0729,0.0475,0.8226,425.8953,0.7203,0.3324,72.8315
urban100_23_23,31.0533,0.9281,3.8973,0.0274,0.0595,0.9133,1278.7704,0.7912,0.5715,73.2161
urban100_24_24,34.5794,0.9445,7.0218,0.0198,0.0334,0.9198,603.2392,0.6237,0.5023,68.8914
urban100_25_25,29.8882,0.8908,6.0522,0.0772,0.0794,0.8525,765.6157,0.7298,0.4336,64.0842
urban100_26_26,22.8507,0.6264,5.1748,0.1660,0.1648,0.7166,2667.0069,0.6532,0.4371,69.5045
urban100_27_27,23.4523,0.8013,2.8709,0.0865,0.0560,0.7916,2024.8426,0.7263,0.4496,69.7381
urban100_28_28,26.9097,0.8010,3.6578,0.0913,0.0479,0.7488,969.4101,0.7181,0.3958,73.0323
urban100_29_29,22.0619,0.7638,3.6063,0.1007,0.0698,0.7410,3015.1507,0.7398,0.4659,75.2913
urban100_30_30,27.6235,0.6253,4.3205,0.0913,0.0606,0.8570,1190.7840,0.6805,0.4823,67.2676
urban100_31_31,32.2775,0.9353,4.6000,0.0275,0.0393,0.8909,560.7244,0.6895,0.4300,65.1193
urban100_32_32,24.0701,0.8098,3.4087,0.0931,0.0684,0.7574,2251.2451,0.4869,0.3484,55.9086
urban100_33_33,25.9247,0.7274,3.4132,0.1349,0.0692,0.7651,854.6369,0.6639,0.3484,75.8505
urban100_34_34,22.5993,0.7542,2.9174,0.1285,0.0603,0.7404,3202.6445,0.6977,0.5152,67.8733
urban100_35_35,28.0594,0.9011,4.1614,0.0356,0.0582,0.8894,2162.2448,0.7555,0.5522,73.2877
urban100_36_36,29.2151,0.8256,2.9831,0.0950,0.0699,0.7999,523.2854,0.5537,0.3090,63.9325
urban100_37_37,23.7948,0.7100,3.5400,0.1247,0.0958,0.7793,2309.5306,0.6991,0.5344,72.6111
urban100_38_38,28.4502,0.9226,5.2353,0.0378,0.0656,0.7891,1972.7828,0.7383,0.5500,76.3192
urban100_39_39,24.6468,0.7770,3.6827,0.0982,0.0564,0.7688,1262.4796,0.6826,0.4093,70.6981
urban100_40_40,28.0752,0.9045,3.5609,0.0495,0.0532,0.8787,1623.5002,0.7246,0.5025,72.2977
urban100_41_41,25.4009,0.6887,2.8477,0.1331,0.0413,0.7796,988.9439,0.6905,0.4233,74.4898
urban100_42_42,32.2217,0.9131,7.5603,0.0499,0.0522,0.9120,696.8731,0.7137,0.4725,68.2425
urban100_43_43,25.2188,0.7948,3.6283,0.1010,0.0623,0.7525,1513.7044,0.7746,0.4867,76.6192
urban100_44_44,41.6568,0.9831,6.2007,0.0135,0.0331,0.9490,194.3250,0.6062,0.4794,68.4293
urban100_45_45,29.2736,0.9194,4.3468,0.0617,0.0782,0.7342,515.8355,0.5958,0.3573,71.6449
urban100_46_46,33.1119,0.8941,4.7867,0.0970,0.0986,0.7869,277.7461,0.5304,0.3791,60.6071
urban100_47_47,34.3507,0.9376,6.0352,0.0384,0.0423,0.9395,436.7823,0.6359,0.4422,72.3129
urban100_48_48,23.8699,0.8570,5.5533,0.0615,0.0668,0.7533,5073.6127,0.7318,0.5681,74.7933
urban100_49_49,23.8042,0.8328,4.4491,0.0861,0.0850,0.7739,3258.2778,0.6938,0.5359,72.7783
urban100_50_50,27.3814,0.6982,3.8309,0.0857,0.0737,0.8129,1352.1188,0.6507,0.4954,67.2434
urban100_51_51,20.4289,0.7360,5.2775,0.1629,0.1080,0.6950,6989.4687,0.7549,0.6028,67.9343
urban100_52_52,19.9688,0.4919,4.8112,0.2035,0.1114,0.6505,4087.5504,0.6033,0.4586,67.0357
urban100_53_53,37.5600,0.9641,6.0959,0.0355,0.0392,0.8802,94.1599,0.6255,0.4345,73.2465
urban100_54_54,29.0900,0.7967,3.5754,0.1080,0.0741,0.7080,707.9160,0.5865,0.3883,66.9976
