image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
bsd100_0_0,23.6423,0.5376,3.2862,0.1824,0.1268,0.7168,1284.0108,0.5023,0.2977,62.9275
bsd100_1_1,23.5807,0.6291,3.6521,0.1711,0.1178,0.7096,1116.6325,0.4690,0.2717,61.7473
bsd100_2_2,26.2908,0.7180,3.6779,0.1403,0.0928,0.8285,940.1977,0.6532,0.3900,71.7020
bsd100_3_3,29.4441,0.7426,5.0743,0.1546,0.1251,0.8366,260.6250,0.5537,0.2428,57.1757
bsd100_4_4,24.1222,0.6191,4.8888,0.1847,0.1514,0.7557,849.1181,0.6913,0.3890,68.3215
bsd100_5_5,26.8030,0.7666,3.3963,0.1655,0.1232,0.7128,414.5311,0.5726,0.2819,59.7636
bsd100_6_6,23.9688,0.7375,4.5442,0.1578,0.1368,0.7833,1557.3871,0.6775,0.4021,69.3590
bsd100_7_7,31.0686,0.7919,3.6075,0.1430,0.1101,0.7480,161.4478,0.6056,0.3757,67.4818
bsd100_8_8,24.3701,0.5353,3.6305,0.1811,0.1142,0.7168,773.6531,0.6703,0.3103,71.9531
bsd100_9_9,32.1581,0.9443,5.9038,0.0279,0.0830,0.8212,739.1270,0.7869,0.4898,70.0068
bsd100_10_10,26.4136,0.6992,3.9618,0.1286,0.1165,0.7729,584.8983,0.7492,0.4536,72.8071
bsd100_11_11,18.3958,0.4571,4.2241,0.2307,0.1256,0.7563,4292.4110,0.7285,0.4076,74.2103
bsd100_12_12,26.0161,0.7082,3.4429,0.1449,0.0938,0.7961,731.8903,0.5885,0.3026,61.9144
bsd100_13_13,21.9018,0.5911,3.3872,0.1702,0.0963,0.6276,1818.8205,0.5806,0.2818,70.4092
bsd100_14_14,24.5403,0.6519,3.6123,0.1480,0.0967,0.7584,1279.1826,0.6779,0.3480,67.5201
bsd100_15_15,29.9267,0.8213,3.4977,0.1481,0.1175,0.6749,207.1742,0.7369,0.3700,65.6784
bsd100_16_16,23.6641,0.5083,4.0112,0.2815,0.1593,0.6372,842.5355,0.4699,0.3083,57.1541
bsd100_17_17,25.0767,0.6499,3.2510,0.1433,0.1005,0.7489,731.9367,0.7033,0.3440,70.2241
bsd100_18_18,37.2628,0.9634,7.0016,0.0220,0.0504,0.9397,328.5580,0.7568,0.6033,71.8085
bsd100_19_19,26.7824,0.8016,3.9340,0.1281,0.1242,0.6555,593.0252,0.5935,0.3033,64.1732
bsd100_20_20,31.1722,0.8077,5.0540,0.0989,0.0993,0.8288,218.3308,0.6880,0.3893,62.2877
bsd100_21_21,33.9305,0.8787,4.5694,0.0609,0.0675,0.8883,160.8404,0.7643,0.4643,67.4656
bsd100_22_22,30.3910,0.7368,4.7370,0.1035,0.1156,0.7602,250.3318,0.5941,0.3286,62.3776
bsd100_23_23,32.3861,0.8788,4.2965,0.0586,0.1051,0.7927,176.2537,0.7375,0.4201,63.1159
bsd100_24_24,27.1134,0.6997,3.8549,0.1564,0.1075,0.7265,566.7633,0.7026,0.4393,73.4941
bsd100_25_25,32.9415,0.8801,4.5346,0.0715,0.0727,0.8532,173.4477,0.7215,0.4199,62.4754
bsd100_26_26,23.6715,0.7534,3.4664,0.1238,0.1058,0.7935,1187.3486,0.6932,0.3622,74.9281
bsd100_27_27,33.8860,0.8492,4.6243,0.0907,0.0807,0.8040,139.3772,0.6531,0.4683,74.2511
bsd100_28_28,28.5857,0.7772,4.5692,0.0884,0.0825,0.7944,529.6467,0.6254,0.3450,67.2326
bsd100_29_29,23.5203,0.6073,3.7543,0.1929,0.1416,0.7692,1434.3437,0.5796,0.2703,54.9051
bsd100_30_30,31.1072,0.8183,5.9882,0.1022,0.0981,0.8682,430.5874,0.6273,0.4663,75.3069
bsd100_31_31,28.7956,0.7763,4.9019,0.1334,0.1036,0.7415,282.3344,0.8059,0.3550,63.8325
bsd100_32_32,23.9239,0.5840,3.9311,0.2001,0.1222,0.6786,957.8424,0.5949,0.2830,64.2801
bsd100_33_33,24.7357,0.7778,3.7631,0.1096,0.0940,0.8544,1305.1959,0.6296,0.4173,62.7847
bsd100_34_34,27.8738,0.8702,4.3981,0.0784,0.0777,0.7124,504.5515,0.6340,0.2343,60.7862
bsd100_35_35,24.5173,0.5505,4.1888,0.1910,0.1562,0.7824,1114.4856,0.6462,0.3276,69.1954
bsd100_36_36,19.8585,0.4100,5.4884,0.2598,0.1729,0.6793,2200.6118,0.6627,0.3890,67.2989
bsd100_37_37,19.9771,0.5464,4.4879,0.1897,0.1424,0.6875,2535.2977,0.5830,0.3706,64.2988
bsd100_38_38,27.1888,0.7673,4.4036,0.1117,0.0768,0.8004,773.3821,0.8337,0.4081,67.8687
bsd100_39_39,28.4731,0.7552,3.7153,0.1493,0.0880,0.7219,347.5226,0.6968,0.2988,57.8037
bsd100_40_40,30.0251,0.7468,4.1052,0.1256,0.1098,0.8240,372.6555,0.7424,0.4666,74.6286
bsd100_41_41,19.4534,0.5857,3.6625,0.2117,0.1646,0.6371,3217.6411,0.6778,0.4695,61.4285
bsd100_42_42,25.1416,0.7220,3.4176,0.0999,0.0840,0.7834,1189.7271,0.6466,0.3810,71.1093
bsd100_43_43,21.6881,0.3850,4.0406,0.2110,0.1255,0.7674,2092.0021,0.6592,0.3782,73.8863
bsd100_44_44,24.7617,0.6412,5.8366,0.1940,0.1580,0.6289,499.9026,0.6667,0.3197,60.1925
bsd100_45_45,24.0144,0.5989,4.0526,0.1921,0.1651,0.6479,753.8025,0.6531,0.2892,64.8858
bsd100_46_46,24.7569,0.7198,3.6398,0.1453,0.1286,0.7299,931.3197,0.7085,0.3162,63.4698
bsd100_47_47,26.6262,0.6988,3.5659,0.1685,0.1143,0.7482,563.9893,0.6231,0.2944,65.6568
bsd100_48_48,21.8047,0.6294,3.2951,0.1970,0.1189,0.6666,1652.0202,0.6918,0.2559,55.7519
bsd100_49_49,31.3524,0.7617,5.1109,0.1252,0.1062,0.8206,159.5175,0.6458,0.4181,59.5081
bsd100_50_50,26.9042,0.7431,3.4441,0.1199,0.0888,0.7570,795.2116,0.5337,0.3183,68.9950
bsd100_51_51,31.8000,0.8270,4.0222,0.0931,0.1024,0.7890,192.0253,0.7015,0.3846,68.3736
bsd100_52_52,33.9954,0.9472,5.5011,0.0462,0.0686,0.8721,500.4867,0.6358,0.4859,70.6938
bsd100_53_53,21.0719,0.6892,3.4033,0.1119,0.1033,0.8208,2738.8820,0.6439,0.3798,68.0693
bsd100_54_54,25.3799,0.7068,3.4447,0.1299,0.1171,0.6510,860.4866,0.6725,0.3778,64.6851
bsd100_55_55,34.3829,0.8678,5.8891,0.0775,0.0812,0.8313,192.3089,0.5989,0.4146,59.8175
bsd100_56_56,24.9378,0.7935,5.9986,0.1023,0.0818,0.8483,1290.3201,0.6253,0.3921,54.0260
bsd100_57_57,25.2411,0.7109,2.8434,0.1346,0.0867,0.7732,962.1192,0.5630,0.3451,68.9720
bsd100_58_58,24.5379,0.7402,3.4819,0.1149,0.0943,0.7076,1352.5682,0.6741,0.3981,71.8759
bsd100_59_59,23.1916,0.6801,4.3368,0.1353,0.0898,0.7651,1502.3216,0.6519,0.3395,70.5544
bsd100_60_60,27.5581,0.6794,4.1958,0.1486,0.1282,0.7841,454.7805,0.7259,0.4660,67.9191
bsd100_61_61,27.6146,0.8446,4.6291,0.0799,0.0692,0.8188,895.8177,0.7834,0.4395,74.6194
bsd100_62_62,21.1928,0.4882,3.4049,0.2604,0.1419,0.7508,1800.2241,0.6127,0.3567,64.5123
bsd100_63_63,31.8613,0.8894,7.8503,0.0847,0.0938,0.8798,499.3536,0.5310,0.2801,49.5101
bsd100_64_64,24.3049,0.6965,4.6190,0.1253,0.0940,0.8069,1561.4246,0.8105,0.4913,72.5304
bsd100_65_65,27.7990,0.6539,3.9784,0.1327,0.1122,0.7307,505.3733,0.6787,0.3780,66.6830
bsd100_66_66,22.5992,0.5383,2.8813,0.1651,0.1157,0.7534,1597.0907,0.6047,0.4062,68.5305
bsd100_67_67,27.6821,0.7822,3.7395,0.0967,0.0700,0.7111,556.5586,0.6733,0.3527,71.2481
bsd100_68_68,30.5075,0.8574,5.1218,0.1142,0.0898,0.8196,202.8335,0.7164,0.3648,58.8705
bsd100_69_69,25.9542,0.8137,4.3919,0.1082,0.1284,0.7092,656.4417,0.7689,0.4021,66.8071
bsd100_70_70,25.4941,0.7504,2.9740,0.1444,0.1006,0.7339,663.7382,0.7055,0.2856,66.8830
bsd100_71_71,25.0296,0.6731,3.2470,0.1852,0.1239,0.7396,713.1230,0.5306,0.2499,54.2228
