image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
manga109_0_0,34.1552,0.9568,4.5450,0.0170,0.0210,0.9376,724.5186,0.6842,0.4394,73.7135
manga109_1_1,28.6977,0.9569,4.2375,0.0348,0.0249,0.8865,2269.7610,0.6866,0.5176,61.4859
manga109_2_2,35.8444,0.9785,4.6652,0.0155,0.0180,0.9235,395.2086,0.6063,0.3296,58.1797
manga109_3_3,31.0292,0.8357,3.5362,0.0545,0.0333,0.8680,443.4112,0.5923,0.3434,67.4633
manga109_4_4,20.2784,0.7324,2.7969,0.0657,0.0431,0.8525,8361.9000,0.6148,0.4750,67.9102
manga109_5_5,37.5991,0.9848,5.4656,0.0075,0.0105,0.9353,304.9682,0.6354,0.3825,72.6323
manga109_6_6,35.9770,0.9361,4.4981,0.0443,0.0284,0.8804,137.4117,0.6724,0.3650,61.5366
manga109_7_7,37.0400,0.9697,5.7288,0.0279,0.0296,0.9270,354.8847,0.6034,0.4353,65.2410
manga109_8_8,29.1138,0.7436,2.3866,0.0608,0.0286,0.8672,589.8587,0.5792,0.3113,55.2285
manga109_9_9,29.2411,0.9072,4.3936,0.0240,0.0301,0.9398,1845.3986,0.6790,0.4973,70.1238
manga109_10_10,27.4968,0.8487,3.7088,0.0494,0.0253,0.9102,1906.2109,0.6835,0.3824,62.7357
manga109_11_11,32.3763,0.9586,4.6773,0.0206,0.0255,0.9420,1040.5908,0.6174,0.4721,74.7409
manga109_12_12,32.0621,0.8550,3.4489,0.0344,0.0192,0.9436,1181.6362,0.6335,0.4279,71.4256
manga109_13_13,20.1192,0.7553,3.8491,0.1122,0.0480,0.7952,6706.9093,0.6408,0.4840,74.7062
manga109_14_14,32.9293,0.9259,3.7026,0.0219,0.0197,0.9078,688.0913,0.6098,0.4575,76.1757
manga109_15_15,28.3625,0.8698,3.3201,0.0649,0.0508,0.8623,1266.7438,0.6035,0.3910,66.7228
manga109_16_16,36.2822,0.9352,3.7475,0.0246,0.0208,0.9344,310.2636,0.5859,0.3655,66.6255
manga109_17_17,31.3091,0.8911,4.0890,0.0546,0.0379,0.8857,352.3531,0.6341,0.3226,68.3717
manga109_18_18,32.0975,0.9451,3.3535,0.0236,0.0241,0.8542,759.3983,0.5887,0.4140,71.3664
manga109_19_19,26.0926,0.9160,6.5855,0.0397,0.0515,0.8881,2276.3864,0.5432,0.5241,51.7225
manga109_20_20,23.3027,0.8082,3.7759,0.0906,0.0393,0.7195,3853.5880,0.7159,0.5885,76.4236
manga109_21_21,41.5182,0.9820,5.3949,0.0072,0.0202,0.9532,156.2817,0.6137,0.3732,59.1019
manga109_22_22,32.8496,0.8906,3.1828,0.0462,0.0303,0.9123,372.9079,0.5508,0.3638,59.2081
manga109_23_23,34.8482,0.9610,3.8465,0.0120,0.0172,0.9237,491.2081,0.6994,0.3872,69.8753
manga109_24_24,33.2493,0.9589,3.6490,0.0148,0.0157,0.9417,865.8387,0.6624,0.3730,58.9763
manga109_25_25,26.6878,0.6451,2.5311,0.0771,0.0367,0.8662,1690.4151,0.6977,0.4546,74.3926
manga109_26_26,31.0360,0.8320,3.1804,0.0537,0.0568,0.9047,941.0797,0.6026,0.4389,64.0135
manga109_27_27,32.0207,0.9385,3.5423,0.0325,0.0167,0.9308,822.4903,0.5691,0.3679,61.8081
manga109_28_28,30.6999,0.9063,3.5849,0.0344,0.0222,0.9141,995.4094,0.6173,0.4279,62.8420
manga109_29_29,31.9930,0.8437,4.2221,0.0766,0.0414,0.8777,255.4225,0.5595,0.3185,60.8963
manga109_30_30,27.9035,0.9574,3.7149,0.0195,0.0297,0.9174,3340.5569,0.6817,0.5438,72.6545
manga109_31_31,33.8324,0.9443,3.8955,0.0251,0.0229,0.9217,464.7297,0.6459,0.3782,69.6336
manga109_32_32,31.3913,0.9391,3.6137,0.0330,0.0209,0.8990,655.2982,0.6279,0.3456,64.7519
manga109_33_33,30.3453,0.8746,3.3073,0.0404,0.0234,0.8682,800.3363,0.7009,0.4218,72.6514
manga109_34_34,32.3425,0.8988,3.9094,0.0383,0.0231,0.9115,553.7552,0.6568,0.3717,60.4768
manga109_35_35,29.9406,0.9262,3.8516,0.0350,0.0245,0.9198,1003.6532,0.6242,0.3685,72.6308
manga109_36_36,36.4531,0.9633,4.4773,0.0180,0.0201,0.9326,326.5457,0.5538,0.3926,65.9272
manga109_37_37,26.4793,0.8664,3.4555,0.0517,0.0307,0.8506,1205.7113,0.6191,0.3779,60.7086
manga109_38_38,30.9921,0.9121,3.2928,0.0317,0.0217,0.9140,765.9733,0.6630,0.3878,66.3909
manga109_39_39,34.7189,0.9802,5.3650,0.0088,0.0296,0.9281,638.9211,0.6174,0.4160,67.1711
manga109_40_40,35.1611,0.9558,4.7701,0.0195,0.0258,0.9374,345.8537,0.6447,0.4185,68.8139
manga109_41_41,28.8210,0.9212,4.2808,0.0365,0.0216,0.9016,1020.0513,0.5761,0.3430,71.3290
manga109_42_42,36.7347,0.9733,4.3925,0.0137,0.0129,0.9439,482.4947,0.5485,0.3591,69.1983
manga109_43_43,24.9855,0.9179,4.4062,0.0403,0.0591,0.7884,2367.8196,0.6686,0.4294,63.7654
manga109_44_44,29.0380,0.7931,3.0140,0.0848,0.0583,0.8618,1461.0056,0.6348,0.3782,62.6629
manga109_45_45,33.0727,0.9410,4.2574,0.0198,0.0155,0.9391,730.5127,0.6508,0.4276,73.2978
manga109_46_46,33.3764,0.9120,4.2804,0.0343,0.0255,0.9089,522.3561,0.5804,0.4055,61.5263
manga109_47_47,24.1413,0.9003,3.6611,0.0276,0.0302,0.9309,4767.4973,0.6874,0.5083,73.8301
manga109_48_48,33.8152,0.9101,4.2057,0.0374,0.0252,0.8723,312.1535,0.6141,0.3493,57.8260
manga109_49_49,32.1908,0.9421,3.4803,0.0203,0.0264,0.9326,599.6767,0.7031,0.4356,74.9376
manga109_50_50,32.4861,0.9318,3.7087,0.0472,0.0318,0.8856,344.0570,0.6223,0.3333,59.7130
manga109_51_51,28.2534,0.8568,2.8684,0.0451,0.0311,0.8999,1247.6491,0.6634,0.3918,68.8169
manga109_52_52,28.6058,0.9559,5.2331,0.0205,0.0221,0.9299,1866.3830,0.6240,0.4363,68.1936
manga109_53_53,36.0707,0.9815,7.8882,0.0059,0.0181,0.9487,1589.1641,0.7202,0.5954,75.9106
manga109_54_54,31.9534,0.8922,3.6252,0.0437,0.0289,0.9114,509.3488,0.6066,0.3460,61.1020
