image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
set14_0_0,34.0574,0.9428,4.2733,0.0419,0.0499,0.9115,421.0318,0.7811,0.4754,72.2253
set14_1_1,27.7351,0.7995,3.3596,0.0643,0.0736,0.8323,945.0310,0.6744,0.4715,72.7792
set14_2_2,23.9115,0.5643,3.8840,0.2060,0.1463,0.6755,1100.2722,0.3474,0.2253,52.8631
set14_3_3,27.4809,0.9691,4.8271,0.0210,0.0272,0.9306,1719.1956,0.7972,0.5901,76.4797
set14_4_4,27.2502,0.7409,5.2048,0.0748,0.0574,0.8265,703.9467,0.6094,0.4522,61.9907
set14_5_5,31.6983,0.8378,4.3122,0.0723,0.0810,0.9087,317.5901,0.7039,0.3513,68.1963
set14_6_6,25.4243,0.7551,4.1843,0.2357,0.1027,0.5932,670.7268,0.6205,0.2360,66.8641
set14_7_7,31.5973,0.7479,5.5189,0.0745,0.1107,0.9054,249.0895,0.4980,0.3729,57.9530
set14_8_8,23.9371,0.7599,3.7321,0.0818,0.0817,0.7982,1959.3515,0.7535,0.4628,74.6421
set14_9_9,33.5819,0.8514,5.3370,0.0462,0.0602,0.9147,221.9466,0.6794,0.4305,70.7628
set14_10_10,26.5003,0.7144,3.5477,0.1434,0.1242,0.7153,625.4220,0.5883,0.3347,62.7007
set14_11_11,24.1316,0.4626,5.4122,0.1398,0.1186,0.7593,1217.4769,0.6469,0.3737,57.5518
set14_12_12,33.3040,0.9218,5.3399,0.0612,0.0683,0.8446,230.5496,0.6056,0.3275,41.5273
set14_13_13,21.1418,0.4851,3.5702,0.1607,0.0962,0.7758,2760.9941,0.6807,0.3636,74.3348
