image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
urban100_0_0,21.0392,0.6781,3.4444,0.1225,0.0834,0.7296,3384.6478,0.8121,0.5379,76.9125
urban100_1_1,28.3575,0.7708,4.1592,0.0737,0.0533,0.8075,1074.7204,0.7762,0.5443,71.2876
urban100_2_2,22.9927,0.7634,3.0870,0.1181,0.0730,0.7536,1958.7080,0.7794,0.4575,76.6647
urban100_3_3,23.1180,0.6499,6.4549,0.2679,0.1361,0.6649,1827.2612,0.7430,0.4838,69.1438
urban100_4_4,24.7122,0.8283,3.5910,0.1004,0.0771,0.6258,1370.6933,0.7628,0.5351,76.4445
urban100_5_5,30.1332,0.8547,4.6336,0.0695,0.0753,0.8836,589.8617,0.6726,0.4262,70.0345
urban100_6_6,29.1747,0.9188,6.9491,0.0286,0.0678,0.9125,2698.8295,0.6901,0.5913,72.8632
urban100_7_7,22.5438,0.7289,3.8678,0.1404,0.0885,0.6916,2040.2526,0.7709,0.5415,75.8642
urban100_8_8,18.6765,0.5578,2.4461,0.1260,0.0813,0.7621,5673.0919,0.7391,0.5254,75.2909
urban100_9_9,21.9499,0.6761,1.8997,0.1358,0.0795,0.7088,1898.6237,0.7671,0.4552,75.3519
urban100_10_10,25.8211,0.7701,3.6723,0.1524,0.1211,0.6735,619.2076,0.6837,0.3879,68.4005
urban100_11_11,27.3000,0.7660,4.4413,0.0952,0.1417,0.7036,1743.1156,0.8329,0.5724,73.3169
urban100_12_12,21.4744,0.5868,3.7103,0.1545,0.0837,0.6998,2076.1840,0.6964,0.4384,76.8877
urban100_13_13,33.3172,0.9079,6.5657,0.0401,0.0725,0.9266,648.3039,0.7778,0.5175,68.3807
urban100_14_14,25.6844,0.7565,3.4553,0.1002,0.0679,0.7083,826.9397,0.6381,0.4230,74.2569
urban100_15_15,26.5259,0.8828,3.3520,0.0416,0.0465,0.8693,2717.9545,0.7656,0.5934,75.2602
urban100_16_16,25.0965,0.9119,3.6661,0.0385,0.0493,0.8315,4074.8513,0.7261,0.6124,75.2890
urban100_17_17,25.4534,0.7729,3.2100,0.0944,0.0492,0.8374,1130.8156,0.7088,0.3233,65.0821
urban100_18_18,26.9889,0.7506,4.6437,0.1026,0.1063,0.8823,2514.7692,0.7400,0.5397,74.5612
urban100_19_19,30.8653,0.9680,7.2400,0.0219,0.0632,0.9214,3025.2984,0.7585,0.5774,66.1807
urban100_20_20,24.7680,0.7986,3.4571,0.0803,0.0656,0.7400,1440.8314,0.7411,0.5075,77.2438
urban100_21_21,22.3234,0.8359,4.5731,0.0858,0.0652,0.7180,5703.9345,0.8363,0.6438,77.2799
urban100_22_22,29.8608,0.8669,3.2759,0.0762,0.0488,0.8150,421.2541,0.7327,0.3290,72.4296
urban100_23_23,30.7367,0.9249,3.6648,0.0278,0.0600,0.9141,1352.4910,0.8000,0.5770,73.3662
urban100_24_24,34.4243,0.9458,7.2956,0.0255,0.0403,0.9152,529.2066,0.6259,0.4948,68.2246
urban100_25_25,29.8902,0.8913,6.0912,0.0759,0.0781,0.8524,817.4773,0.7366,0.4484,64.5237
urban100_26_26,22.6158,0.6196,5.0101,0.1578,0.1617,0.7256,3019.5661,0.6512,0.4469,70.3442
urban100_27_27,23.4677,0.8001,2.6782,0.0881,0.0560,0.7985,1974.6097,0.7296,0.4511,69.7877
urban100_28_28,26.7370,0.7964,3.8106,0.0977,0.0487,0.7464,1000.8564,0.7082,0.3902,73.2866
urban100_29_29,21.9841,0.7566,3.6093,0.1038,0.0706,0.7391,2780.4836,0.7334,0.4591,75.5486
urban100_30_30,27.4892,0.6162,4.6374,0.0955,0.0624,0.8590,1219.7287,0.6769,0.4784,66.3437
urban100_31_31,31.7993,0.9299,5.5257,0.0310,0.0396,0.8870,548.3798,0.6781,0.4272,66.1243
urban100_32_32,24.5591,0.8101,3.2451,0.0946,0.0752,0.7461,2039.5094,0.4895,0.3494,56.0991
urban100_33_33,25.9128,0.7252,3.3934,0.1423,0.0699,0.7651,852.8109,0.6800,0.3446,75.4357
