image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
Nikon_038,25.2823,0.6892,5.7383,0.3640,0.2055,0.4691,65.9159,0.4621,0.1620,48.8514
Nikon_004,27.2117,0.8916,4.7523,0.1383,0.0795,0.6039,246.7233,0.6301,0.3685,65.1962
Nikon_010,27.1468,0.8671,3.9794,0.1549,0.1263,0.4897,242.3474,0.6613,0.3794,63.1495
Nikon_011,29.1106,0.9087,5.4462,0.1288,0.0995,0.6144,206.7248,0.6857,0.3921,66.5048
Nikon_005,24.5751,0.7033,4.3137,0.2380,0.1263,0.6054,361.4374,0.6317,0.3764,63.8763
Nikon_039,27.5956,0.8183,4.8590,0.1865,0.1073,0.5270,142.4429,0.6708,0.3899,73.1980
Nikon_013,22.0723,0.6042,6.6525,0.3182,0.1957,0.4305,91.1395,0.4818,0.2556,50.1020
Nikon_007,26.5599,0.8041,6.8813,0.2536,0.1562,0.4888,49.6686,0.5336,0.3037,53.1457
Nikon_006,24.3650,0.6979,5.1650,0.3155,0.1866,0.4395,51.4927,0.5599,0.2767,53.0552
Nikon_012,30.4228,0.8907,5.5894,0.1938,0.1549,0.5186,42.1156,0.4828,0.2097,54.8380
Nikon_016,27.9346,0.7230,5.6798,0.3554,0.2261,0.4356,38.5227,0.5644,0.3605,59.1579
Nikon_002,26.9392,0.8537,4.8290,0.1504,0.1126,0.4960,153.6854,0.6650,0.3191,53.7601
Nikon_003,24.8288,0.7541,3.7348,0.2628,0.1475,0.4929,152.2736,0.5496,0.3020,50.3507
Nikon_017,32.2336,0.9282,5.9966,0.1362,0.1308,0.6152,62.2876,0.5933,0.4177,61.4755
Nikon_001,25.9556,0.9028,6.0495,0.2520,0.1832,0.5351,158.2733,0.4376,0.2885,45.3812
Nikon_015,33.6787,0.9012,5.7207,0.1926,0.1159,0.6236,46.1982,0.6413,0.3908,53.0522
Nikon_029,26.7077,0.7708,6.2900,0.2921,0.2000,0.5126,97.2370,0.3728,0.2030,42.2481
Nikon_028,24.4969,0.5008,5.3727,0.3678,0.3037,0.4766,54.0851,0.4957,0.2985,49.3233
Nikon_014,25.1564,0.7270,4.5327,0.2367,0.1901,0.5396,117.9328,0.5563,0.2986,57.5084
