image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
Canon_048,23.9025,0.8145,4.1475,0.2358,0.1119,0.4975,453.8935,0.6571,0.4179,62.1571
Canon_049,24.3228,0.7969,5.0585,0.2154,0.1582,0.4953,275.2111,0.7621,0.4061,67.4573
Canon_006,28.6570,0.8465,3.9443,0.2276,0.1635,0.4789,160.5231,0.5260,0.3920,57.8803
Canon_012,34.0658,0.9205,6.4581,0.1693,0.1563,0.5720,57.6910,0.5613,0.4373,62.4535
Canon_013,24.3305,0.7594,3.6978,0.2813,0.1300,0.4844,483.7288,0.5566,0.3512,72.9447
Canon_007,28.5614,0.8662,4.7010,0.2215,0.1590,0.5019,120.6033,0.5606,0.3831,58.1360
Canon_039,29.4446,0.8920,7.0118,0.2583,0.1747,0.4666,23.4144,0.4061,0.1902,54.9030
Canon_011,29.6847,0.8897,4.0165,0.1339,0.1052,0.6091,187.0554,0.5747,0.3853,57.5730
Canon_005,25.3298,0.7875,4.1751,0.2343,0.1491,0.4662,323.9876,0.6757,0.3959,69.2789
Canon_004,26.5322,0.8714,4.3476,0.1590,0.1301,0.5988,554.6748,0.7692,0.5190,73.0849
Canon_010,27.3463,0.8593,4.1406,0.2000,0.1537,0.4974,240.4514,0.5530,0.3916,56.7194
Canon_038,27.7961,0.8454,4.3056,0.2251,0.0936,0.5334,206.3323,0.5729,0.3692,63.8360
Canon_014,21.1931,0.6115,3.8913,0.2922,0.1524,0.4852,582.7683,0.5030,0.3019,53.5452
Canon_028,27.2130,0.8193,4.7618,0.2026,0.1500,0.5070,198.3281,0.5831,0.3550,63.2437
Canon_029,30.0013,0.8943,4.4784,0.1509,0.1361,0.5376,102.1034,0.6405,0.4565,63.8941
Canon_001,29.5982,0.9099,7.2903,0.2531,0.1484,0.6358,159.2815,0.6297,0.4404,70.2964
Canon_015,21.1753,0.5026,3.7709,0.3343,0.1730,0.4644,378.8694,0.4815,0.2642,51.4651
Canon_003,23.6313,0.8863,5.5720,0.1360,0.1355,0.6487,850.7307,0.7277,0.5711,70.7929
Canon_017,26.1710,0.7834,4.9537,0.2102,0.1298,0.4927,173.5372,0.5444,0.2940,69.9128
Canon_016,20.0736,0.5531,4.9153,0.2952,0.1780,0.5238,1134.7357,0.7002,0.4172,67.5019
Canon_002,23.8967,0.7715,4.8723,0.1734,0.1715,0.5914,410.0167,0.6955,0.4973,69.0602
Canon_027,23.5702,0.7361,4.7501,0.2807,0.1266,0.4565,144.1494,0.4983,0.3078,56.2969
Canon_033,26.3593,0.8068,4.5882,0.2048,0.1131,0.5406,233.9646,0.5110,0.3262,60.5381
Canon_032,26.6950,0.7976,5.3002,0.2565,0.1524,0.4680,80.4741,0.4306,0.1995,53.8839
Canon_026,25.9023,0.7704,5.4560,0.2681,0.1845,0.3885,84.9085,0.4722,0.2882,52.5696
Canon_018,27.4274,0.8432,4.0880,0.2071,0.1260,0.5066,219.8953,0.4826,0.3062,62.3537
Canon_030,29.6732,0.8504,4.7601,0.1739,0.1460,0.5613,103.9130,0.5115,0.3493,55.7728
Canon_024,27.5718,0.8737,5.2326,0.1685,0.0808,0.6222,192.1626,0.6061,0.3636,66.5197
Canon_025,27.9037,0.8945,5.8534,0.1803,0.1010,0.6271,111.4365,0.4702,0.2282,57.0738
Canon_031,27.1339,0.8251,4.8342,0.2420,0.1534,0.4644,263.7238,0.4968,0.3429,47.0450
Canon_019,24.3338,0.8276,4.1779,0.2224,0.1202,0.5198,488.2715,0.5989,0.2995,56.5285
Canon_035,23.6483,0.6767,7.3152,0.2528,0.1821,0.5000,143.7238,0.4994,0.2904,52.1069
Canon_021,26.5337,0.7878,4.1902,0.2124,0.1466,0.4761,182.7691,0.5682,0.3351,52.2799
