image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
Nikon_038,24.1223,0.7012,5.9814,0.3673,0.1942,0.4755,99.6442,0.4502,0.1728,43.1198
Nikon_004,25.5625,0.8871,4.2928,0.1432,0.0907,0.5998,539.4978,0.6627,0.4339,64.9256
Nikon_010,25.1186,0.8467,3.9574,0.1796,0.1579,0.4953,725.9430,0.7110,0.4800,68.5759
Nikon_011,26.4110,0.8999,5.5151,0.1394,0.0991,0.6099,518.0621,0.7163,0.4547,68.8160
Nikon_005,22.9415,0.7033,4.1505,0.2576,0.1276,0.5730,263.6318,0.6342,0.3605,60.4649
Nikon_039,25.4099,0.8057,5.3691,0.1988,0.1104,0.5269,339.8031,0.7012,0.4351,74.0280
Nikon_013,22.2861,0.6494,6.6640,0.2947,0.1854,0.4750,167.0327,0.4672,0.2061,49.1089
Nikon_007,26.7029,0.8197,6.7074,0.2340,0.1337,0.5336,97.1983,0.5539,0.2897,57.4655
Nikon_006,24.5481,0.7207,5.4453,0.2994,0.1628,0.4695,92.5871,0.5535,0.2548,49.4448
Nikon_012,29.2706,0.8906,5.6118,0.1747,0.1173,0.5460,62.3885,0.4431,0.2200,56.7051
Nikon_016,27.7011,0.7272,5.4666,0.3503,0.2116,0.4353,41.8366,0.5300,0.3583,57.7632
Nikon_002,26.1133,0.8554,4.5555,0.1498,0.1046,0.5079,317.6671,0.6833,0.3545,57.3057
Nikon_003,22.7112,0.7381,3.5751,0.2555,0.1343,0.4930,460.9910,0.5836,0.3282,53.4843
Nikon_017,31.3380,0.9273,5.6320,0.1335,0.1134,0.6139,79.3587,0.5654,0.4139,58.8434
Nikon_001,25.4743,0.9109,5.3979,0.2505,0.1600,0.5558,472.1395,0.5250,0.3379,51.0679
Nikon_015,31.9812,0.8968,5.6259,0.1919,0.1078,0.6282,79.9295,0.6429,0.3921,52.2536
Nikon_029,26.5672,0.8005,6.1978,0.2806,0.1697,0.5553,143.0505,0.3519,0.1901,39.4297
Nikon_028,25.1749,0.5688,5.1551,0.2805,0.2487,0.5582,179.6791,0.5515,0.3131,52.3843
Nikon_014,24.3123,0.7372,4.3246,0.2159,0.1728,0.5698,254.3630,0.5754,0.2771,59.2642
Nikon_049,23.6614,0.6309,3.4967,0.3084,0.1509,0.4901,490.4197,0.7491,0.3927,72.2591
Nikon_048,23.6776,0.6474,3.3248,0.2749,0.1633,0.4953,423.3522,0.7059,0.3416,67.4844
Nikon_046,28.7040,0.8087,4.8743,0.2756,0.1740,0.5060,82.0230,0.5138,0.2729,54.9920
Nikon_047,26.3261,0.7181,3.7070,0.3250,0.1749,0.5021,170.6052,0.5082,0.2379,59.8838
Nikon_045,22.4430,0.5811,6.6189,0.4128,0.2421,0.3921,107.3493,0.4108,0.2063,40.1777
Nikon_044,25.3022,0.7892,4.4997,0.1874,0.1035,0.5255,419.4909,0.6651,0.4465,67.0687
Nikon_050,23.4657,0.7811,3.7013,0.2496,0.1495,0.4895,1063.0005,0.7891,0.5789,65.5990
Nikon_040,25.7132,0.8836,4.1170,0.1144,0.1265,0.6178,745.9078,0.7351,0.4933,46.8584
Nikon_041,22.3057,0.8071,4.3621,0.1691,0.1106,0.5172,791.4742,0.6734,0.4154,69.9684
Nikon_043,27.3601,0.8668,7.0673,0.2651,0.1678,0.5033,53.5952,0.5320,0.2336,53.0640
Nikon_042,33.7900,0.9082,6.0527,0.2556,0.1709,0.5499,18.0866,0.4684,0.3498,52.0899
Nikon_019,25.5934,0.5995,3.7538,0.3224,0.2302,0.5354,180.3035,0.5028,0.2644,56.5815
Nikon_025,28.1328,0.8549,6.3036,0.3378,0.1781,0.5529,189.6590,0.7493,0.4896,68.0623
Nikon_031,26.4522,0.9053,5.2204,0.1595,0.1100,0.6119,346.4463,0.6837,0.4752,65.0521
Nikon_030,29.9776,0.9094,6.3013,0.2205,0.1680,0.5816,182.8806,0.6854,0.4558,57.2421
Nikon_024,24.5136,0.8103,7.1267,0.2572,0.2338,0.5025,914.2093,0.6700,0.5693,61.9489
Nikon_018,26.7267,0.6845,3.7969,0.3381,0.2141,0.4573,243.3995,0.6721,0.3444,65.4706
Nikon_032,28.8404,0.8552,5.8056,0.2240,0.1426,0.5231,47.4818,0.5462,0.3035,51.3429
Nikon_026,25.8760,0.6404,3.2446,0.4108,0.2218,0.4348,290.7320,0.5776,0.3306,60.4824
Nikon_027,20.4311,0.5352,4.4071,0.3732,0.3092,0.3699,1312.6237,0.6096,0.3853,59.7378
Nikon_033,27.2971,0.8846,4.8565,0.1398,0.0867,0.5761,327.3353,0.6887,0.4631,71.3917
Nikon_037,30.3267,0.8104,5.6934,0.2689,0.1463,0.4882,44.2884,0.4985,0.2251,59.5227
Nikon_023,27.5269,0.7289,8.4140,0.4087,0.2448,0.5066,135.6345,0.6754,0.4027,66.6946
Nikon_022,24.0278,0.3868,4.4115,0.4517,0.2532,0.4008,78.2764,0.5562,0.2804,62.8145
Nikon_036,27.5879,0.8511,5.3970,0.1893,0.0998,0.5541,69.2242,0.5588,0.3223,56.4445
Nikon_020,27.2990,0.7394,5.8585,0.4250,0.1749,0.4344,37.9661,0.4742,0.2886,41.1848
Nikon_034,27.3121,0.9018,5.2635,0.1332,0.0810,0.6070,247.5277,0.6873,0.4180,71.0807
Nikon_008,29.6431,0.8603,5.5902,0.1700,0.0960,0.6391,90.2070,0.5601,0.3325,58.1717
Nikon_009,24.7485,0.8260,5.3802,0.1578,0.1318,0.6543,332.3575,0.7067,0.4061,43.1219
Nikon_035,24.4873,0.9260,8.8828,0.0844,0.1697,0.7060,1319.9230,0.7671,0.6355,42.5256
Nikon_021,21.2483,0.6094,6.8840,0.3133,0.3245,0.4059,1484.6589,0.5966,0.4684,63.6486
