image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
Canon_048,24.9016,0.8222,4.6918,0.2257,0.1117,0.5011,191.7268,0.6292,0.3484,59.5891
Canon_049,24.8806,0.8097,5.5066,0.2212,0.1710,0.4867,124.1005,0.7389,0.3455,63.8293
Canon_006,29.7124,0.8458,4.1459,0.2263,0.1633,0.4780,94.1232,0.5218,0.3698,56.2144
Canon_012,34.8758,0.9254,6.7318,0.1758,0.1742,0.5570,35.2897,0.5791,0.4544,65.8776
Canon_013,26.6311,0.7768,4.8656,0.2561,0.1323,0.4989,204.2510,0.4984,0.2918,69.4516
Canon_007,29.2236,0.8656,4.8624,0.2458,0.1756,0.5078,104.5304,0.5676,0.3973,62.2697
Canon_039,28.8103,0.8857,7.4724,0.2698,0.2058,0.4388,16.7789,0.4377,0.1846,53.2210
Canon_011,31.4534,0.9006,4.8764,0.1318,0.1131,0.6170,67.6165,0.5537,0.3465,56.4890
Canon_005,27.1746,0.8046,4.4325,0.2160,0.1417,0.4812,106.7238,0.6347,0.3597,69.9730
Canon_004,28.2675,0.8825,4.7833,0.1458,0.1126,0.6120,184.9916,0.7322,0.4044,67.6111
Canon_010,29.2163,0.8613,4.5636,0.2005,0.1453,0.5194,106.9626,0.5396,0.3782,54.7107
Canon_038,29.0378,0.8559,4.5492,0.2371,0.1133,0.5359,112.3192,0.5996,0.3516,63.1169
Canon_014,23.3549,0.6228,4.0810,0.2912,0.1565,0.4857,180.3288,0.4103,0.2519,54.2373
Canon_028,28.8351,0.8241,4.4863,0.1940,0.1361,0.5263,91.1023,0.5651,0.3531,65.5486
Canon_029,30.9862,0.8940,4.7033,0.1572,0.1458,0.5356,59.0285,0.6139,0.4610,62.8053
Canon_001,30.4423,0.9068,7.0827,0.2534,0.1391,0.6358,96.7710,0.6559,0.4287,68.6771
Canon_015,22.1982,0.4791,4.7343,0.4097,0.2011,0.4243,72.2625,0.3599,0.2254,44.4397
Canon_003,25.4356,0.8991,5.6572,0.1160,0.1339,0.6539,353.8382,0.7038,0.4872,69.3905
Canon_017,26.5849,0.7719,4.7809,0.2168,0.1361,0.4775,94.1165,0.5462,0.2639,66.8823
Canon_016,21.2330,0.5360,5.2646,0.3141,0.1783,0.5141,503.4450,0.6583,0.4233,66.5852
Canon_002,24.7765,0.7656,5.4867,0.1692,0.1516,0.5888,225.7716,0.7074,0.4391,67.4136
Canon_027,23.9762,0.7297,5.3153,0.2924,0.1536,0.4639,118.4113,0.5201,0.3136,54.9173
Canon_033,27.9109,0.8099,5.6174,0.1954,0.1201,0.5224,100.9461,0.4790,0.2671,57.8566
Canon_032,26.7936,0.7813,5.3033,0.2623,0.1604,0.4598,55.6902,0.4168,0.1880,49.7331
Canon_026,25.0287,0.7483,6.1856,0.2930,0.2275,0.3619,31.9811,0.4575,0.2606,46.4955
Canon_018,29.2680,0.8531,4.3305,0.2020,0.1330,0.5157,99.2286,0.4415,0.2707,60.9723
Canon_030,31.2193,0.8564,5.2000,0.1882,0.1582,0.5574,43.8593,0.5143,0.3459,55.3247
Canon_024,28.9319,0.8787,5.6371,0.1662,0.0955,0.5931,109.5634,0.5727,0.3207,64.9363
Canon_025,31.1905,0.9134,6.1828,0.1589,0.0936,0.6360,47.2561,0.4268,0.2101,56.2103
Canon_031,28.5944,0.8271,4.1666,0.2399,0.1501,0.4885,136.5264,0.4751,0.3313,49.7297
Canon_019,27.4670,0.8497,5.1062,0.1949,0.1206,0.5703,166.7500,0.5189,0.2545,54.2710
Canon_035,24.9017,0.6914,6.9439,0.2633,0.2040,0.4895,82.9845,0.4852,0.2779,53.0473
Canon_021,27.4830,0.7955,4.0951,0.2205,0.1513,0.4634,88.5589,0.5677,0.3230,53.1403
Canon_009,25.0658,0.8022,4.7736,0.2132,0.1266,0.5635,175.7520,0.5664,0.3133,61.3553
Canon_008,27.4934,0.7895,4.7879,0.2386,0.1353,0.5371,80.0224,0.3657,0.1715,41.7007
Canon_020,27.5539,0.8214,5.3459,0.2023,0.1019,0.5594,76.5422,0.4716,0.2173,52.9092
Canon_034,29.9953,0.7834,4.9900,0.3019,0.1571,0.5559,84.3306,0.7213,0.3476,65.5631
Canon_022,31.5748,0.9019,6.1476,0.1823,0.1225,0.6097,46.1705,0.5248,0.3060,61.9194
Canon_036,29.8647,0.8487,7.1783,0.2105,0.1886,0.4227,52.4364,0.6087,0.2976,60.7680
Canon_037,24.6229,0.5932,6.4692,0.4137,0.3101,0.3972,33.6337,0.4424,0.2159,46.6813
Canon_023,28.3521,0.8222,5.1138,0.2047,0.1509,0.4969,88.7957,0.5301,0.2370,62.6203
Canon_044,31.4183,0.8866,7.4733,0.2402,0.1747,0.4796,12.9529,0.5223,0.2961,59.5799
