image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
Canon_048,23.5473,0.8131,4.4327,0.2267,0.1079,0.5094,390.5296,0.6595,0.3909,63.1617
Canon_049,23.7122,0.7935,4.7007,0.2242,0.1533,0.5016,244.5296,0.7665,0.3676,65.7507
Canon_006,28.8998,0.8421,3.9446,0.2236,0.1537,0.4830,147.1010,0.5317,0.3830,59.7624
Canon_012,33.8570,0.9227,5.8999,0.1594,0.1558,0.5656,58.7792,0.6077,0.4669,66.3982
Canon_013,25.3548,0.7787,5.0237,0.2516,0.1201,0.4933,269.1536,0.4668,0.2928,67.3276
Canon_007,28.2881,0.8629,4.4128,0.2398,0.1598,0.5061,194.8126,0.6024,0.4273,66.9434
Canon_039,29.0573,0.8868,7.5810,0.2702,0.1895,0.4511,18.7269,0.3911,0.1716,50.3186
Canon_011,30.2197,0.8969,4.6968,0.1285,0.1060,0.6270,102.6349,0.5420,0.3608,57.5363
Canon_005,26.0390,0.7966,4.6433,0.2160,0.1332,0.4870,175.8109,0.6468,0.3574,67.1238
Canon_004,26.0356,0.8718,5.0806,0.1454,0.1139,0.6184,399.2238,0.7519,0.4624,70.2302
Canon_010,27.3604,0.8553,4.1753,0.2021,0.1450,0.5029,212.1625,0.5666,0.3990,54.5912
Canon_038,28.3466,0.8548,4.6246,0.2157,0.0939,0.5461,111.9410,0.5646,0.3074,61.9783
Canon_014,21.5685,0.6125,3.6967,0.2867,0.1615,0.4962,496.3754,0.4602,0.2858,53.7194
Canon_028,28.1238,0.8275,4.4914,0.1867,0.1339,0.5271,154.7752,0.5660,0.3611,65.0437
Canon_029,29.7046,0.8901,4.2396,0.1578,0.1383,0.5542,114.2620,0.6394,0.4733,65.3121
Canon_001,28.6584,0.9044,7.0920,0.2468,0.1414,0.6405,178.8812,0.6361,0.4365,69.9348
Canon_015,21.7214,0.5008,4.4869,0.3545,0.2033,0.4538,169.4953,0.3982,0.2459,49.9207
Canon_003,23.1452,0.8707,4.6878,0.1476,0.1525,0.6226,660.1387,0.6976,0.5208,70.0692
Canon_017,25.9112,0.7782,5.2542,0.2123,0.1260,0.4884,116.5077,0.5357,0.2556,64.6883
Canon_016,19.9199,0.5508,5.6607,0.3184,0.1836,0.5175,863.2177,0.6865,0.4223,65.6835
Canon_002,23.1995,0.7546,5.2062,0.1724,0.1633,0.5919,462.5449,0.7153,0.4959,70.2454
Canon_027,23.2996,0.7301,5.3583,0.2837,0.1310,0.4607,165.6887,0.5447,0.3259,56.9967
Canon_033,26.9188,0.8122,5.2794,0.1928,0.1070,0.5319,158.7325,0.4821,0.2961,59.6172
Canon_032,26.5960,0.7918,6.0062,0.2597,0.1490,0.4647,70.6590,0.3956,0.2000,51.4765
Canon_026,25.5304,0.7585,5.7801,0.2849,0.2047,0.3712,64.8498,0.4710,0.2861,48.8291
Canon_018,27.6868,0.8463,4.1061,0.2023,0.1253,0.5092,181.7554,0.4802,0.3002,62.5998
Canon_030,29.9024,0.8536,4.8403,0.1847,0.1517,0.5481,77.0597,0.5300,0.3545,56.4198
Canon_024,26.9572,0.8692,5.2303,0.1732,0.0847,0.6088,187.8898,0.5730,0.3530,64.7013
