image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
Nikon_038,23.7286,0.6918,6.1872,0.3622,0.1913,0.4753,128.7720,0.4880,0.1812,49.1468
Nikon_004,24.8852,0.8823,4.3189,0.1447,0.0862,0.6031,606.0781,0.6500,0.4261,65.1443
Nikon_010,24.2679,0.8306,4.0370,0.1812,0.1359,0.4790,723.8021,0.6752,0.4091,61.2441
Nikon_011,26.1453,0.8999,5.8364,0.1271,0.0919,0.6090,365.1962,0.7007,0.4058,65.1701
Nikon_005,23.0693,0.6963,4.2270,0.2436,0.1268,0.5989,330.2824,0.6292,0.3734,62.4210
Nikon_039,25.5540,0.8084,5.5382,0.2009,0.1103,0.5286,290.2453,0.6871,0.4058,72.9255
Nikon_013,22.3629,0.6366,7.1792,0.3173,0.1842,0.4511,135.4032,0.4625,0.2379,48.7338
Nikon_007,26.8346,0.8173,7.1060,0.2512,0.1406,0.5213,68.4693,0.5502,0.3079,53.9890
Nikon_006,24.4479,0.7145,4.5467,0.2987,0.1687,0.4600,87.0731,0.5290,0.2528,53.8191
Nikon_012,29.5300,0.8925,5.3573,0.1828,0.1228,0.5350,48.8899,0.4633,0.2151,57.9681
Nikon_016,27.2057,0.7221,5.2726,0.3452,0.2070,0.4423,50.3836,0.5537,0.3734,59.2689
Nikon_002,25.9823,0.8553,4.9048,0.1496,0.1015,0.5035,296.4296,0.6544,0.3488,54.6364
Nikon_003,23.2090,0.7479,4.1895,0.2532,0.1590,0.5006,328.9684,0.5508,0.3140,50.2465
Nikon_017,30.4825,0.9248,5.8296,0.1411,0.1194,0.5990,91.4059,0.5903,0.4151,60.0747
Nikon_001,24.0348,0.9032,6.0311,0.2629,0.1655,0.5315,573.4853,0.5286,0.3496,50.9010
Nikon_015,31.4741,0.8897,5.2596,0.1878,0.1111,0.6310,79.1075,0.6496,0.3996,53.9470
Nikon_029,26.6680,0.7942,7.1608,0.3281,0.1822,0.4994,85.8287,0.3416,0.1778,37.8983
Nikon_028,25.1917,0.5623,6.5902,0.3401,0.2607,0.5082,78.7676,0.5180,0.3100,46.2268
Nikon_014,24.8468,0.7393,5.0951,0.2362,0.1796,0.5505,224.7966,0.5796,0.3245,61.3343
Nikon_049,23.3724,0.6354,3.8227,0.3051,0.1506,0.4960,463.6816,0.7706,0.3803,66.2360
Nikon_048,23.7756,0.6625,3.7531,0.2687,0.1557,0.5031,281.0838,0.6753,0.3071,61.1893
Nikon_046,29.2520,0.8130,4.6294,0.2562,0.1755,0.5349,68.7964,0.5245,0.2540,55.9419
Nikon_047,26.8291,0.7193,4.1819,0.3395,0.1781,0.4949,96.4007,0.4326,0.2210,50.7747
Nikon_045,22.9982,0.5762,6.7595,0.4461,0.2524,0.3743,68.9583,0.3907,0.1935,37.5586
Nikon_044,25.3987,0.8062,4.4639,0.1820,0.1106,0.5463,310.4868,0.6670,0.4399,64.2938
Nikon_050,22.2159,0.7786,3.6035,0.2416,0.1417,0.4699,1219.9353,0.7690,0.5491,50.8247
Nikon_040,24.8188,0.8756,4.2697,0.1159,0.1227,0.6085,697.2536,0.7239,0.4633,58.5570
Nikon_041,21.8472,0.8041,4.4372,0.1723,0.1110,0.5344,981.6362,0.7035,0.4439,69.7794
Nikon_043,27.4226,0.8665,7.2132,0.2927,0.1824,0.4850,37.6297,0.4883,0.2250,51.9340
Nikon_042,33.2970,0.9031,6.3207,0.2591,0.1903,0.5445,16.8144,0.4930,0.3646,54.8614
Nikon_019,25.8350,0.6074,4.1738,0.3208,0.2394,0.5484,115.9530,0.4205,0.2619,56.0541
Nikon_025,27.4031,0.8507,5.4860,0.3360,0.1747,0.5597,189.9762,0.7235,0.4808,68.2057
Nikon_031,25.2219,0.8971,5.1598,0.1598,0.1101,0.6165,370.7241,0.6842,0.4761,64.0556
Nikon_030,28.1373,0.8995,5.9360,0.2245,0.1690,0.5758,260.6231,0.6882,0.4675,57.9532
Nikon_024,25.0870,0.7965,5.8713,0.2397,0.2302,0.5498,714.7889,0.6403,0.5161,64.6971
Nikon_018,27.0849,0.6720,3.9247,0.3571,0.2062,0.4688,218.8209,0.6716,0.3688,65.6770
Nikon_032,28.9024,0.8518,5.3473,0.2274,0.1557,0.5239,41.4855,0.5305,0.2941,46.4430
Nikon_026,25.7196,0.6294,2.8069,0.3986,0.2172,0.4430,312.0597,0.5567,0.3314,61.8729
Nikon_027,22.8531,0.5954,5.0248,0.4133,0.2843,0.3872,574.8236,0.6248,0.4215,55.1496
Nikon_033,25.9548,0.8765,5.0673,0.1399,0.0827,0.5841,415.6241,0.7175,0.4649,70.8644
