image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
Canon_048,25.0958,0.8206,4.9507,0.2269,0.1175,0.5134,174.2735,0.6322,0.3583,60.2715
Canon_049,24.8498,0.8016,4.8377,0.2086,0.1648,0.5204,164.3555,0.7526,0.3708,65.6345
Canon_006,29.5475,0.8381,3.9320,0.2446,0.1734,0.4772,118.0487,0.5400,0.3833,59.4333
Canon_012,35.0127,0.9209,6.1343,0.1683,0.1775,0.5808,38.7040,0.5728,0.4443,65.3258
Canon_013,27.0499,0.7825,4.8819,0.2579,0.1414,0.5028,177.7234,0.4988,0.2997,70.1959
Canon_007,29.1767,0.8615,4.8593,0.2485,0.1876,0.4982,99.0077,0.5734,0.3956,63.3524
Canon_039,28.7683,0.8850,7.2429,0.2664,0.1970,0.4360,20.1809,0.4407,0.1973,55.9524
Canon_011,31.5315,0.8977,4.5464,0.1386,0.1177,0.6096,67.9536,0.5483,0.3443,53.8419
Canon_005,27.0102,0.7930,3.8622,0.2383,0.1579,0.4761,159.4399,0.6609,0.3674,70.8346
Canon_004,28.1564,0.8794,4.8252,0.1497,0.1173,0.6075,256.6139,0.7293,0.4325,70.7353
Canon_010,29.5618,0.8642,4.4041,0.2006,0.1504,0.5151,99.3198,0.5340,0.3672,54.7815
Canon_038,29.6197,0.8599,4.7167,0.2301,0.1063,0.5476,88.7428,0.5875,0.3342,62.5691
Canon_014,22.7800,0.5926,3.1184,0.3000,0.1534,0.5085,483.2444,0.4752,0.2921,57.2415
Canon_028,28.9221,0.8224,4.3480,0.2042,0.1464,0.5008,97.2123,0.5775,0.3539,69.7711
Canon_029,31.2855,0.8950,4.9319,0.1592,0.1423,0.5219,50.5163,0.6151,0.4385,61.4625
Canon_001,30.8848,0.9085,6.3718,0.2612,0.1436,0.6456,75.0483,0.6363,0.4280,68.3157
Canon_015,22.0344,0.4775,3.6768,0.3384,0.1856,0.4754,161.6279,0.3844,0.2428,50.1328
Canon_003,24.7908,0.8380,4.6938,0.1497,0.1564,0.6303,410.0075,0.7020,0.5371,70.7295
Canon_017,26.7001,0.7673,5.4717,0.2242,0.1486,0.4610,65.9074,0.5349,0.2592,66.5046
Canon_016,21.5036,0.5223,5.1346,0.2967,0.1866,0.5241,689.2419,0.6568,0.4350,70.3361
Canon_002,24.8335,0.7587,5.3827,0.1808,0.1639,0.5952,248.9502,0.6896,0.4678,67.5536
Canon_027,24.2146,0.7293,5.5345,0.2972,0.1607,0.4527,106.8031,0.5150,0.3153,59.0260
Canon_033,28.0490,0.8094,4.7229,0.2016,0.1322,0.5233,113.7775,0.4849,0.2860,61.5206
Canon_032,27.0361,0.7843,5.4444,0.2695,0.1714,0.4450,45.0744,0.4043,0.1961,51.6818
Canon_026,25.2109,0.7524,5.4883,0.2827,0.2087,0.3723,46.4896,0.4931,0.2917,51.8751
Canon_018,28.9043,0.8438,4.0195,0.2152,0.1433,0.5041,144.7527,0.5091,0.3002,63.0249
Canon_030,31.0706,0.8483,4.4073,0.1940,0.1609,0.5380,72.4488,0.4980,0.3568,58.4529
Canon_024,29.9150,0.8834,5.3820,0.1638,0.1011,0.6086,92.8218,0.5573,0.3196,64.5988
Canon_025,31.1915,0.9080,5.7979,0.1695,0.0979,0.6391,63.9261,0.4461,0.2126,55.6312
Canon_031,28.3610,0.8161,3.9472,0.2732,0.1608,0.4691,180.3443,0.4877,0.3403,51.0068
Canon_019,27.2273,0.8410,4.4602,0.2152,0.1337,0.5539,238.9449,0.5781,0.2625,55.2549
Canon_035,25.5138,0.6970,6.0114,0.2573,0.1946,0.5001,100.2668,0.5031,0.2873,54.4690
Canon_021,27.5146,0.7899,3.9477,0.2271,0.1564,0.4594,97.5327,0.5625,0.3041,53.0280
Canon_009,25.1809,0.7953,4.1368,0.2215,0.1457,0.5530,216.3690,0.5457,0.3137,60.4112
Canon_008,27.5769,0.7879,4.6484,0.2505,0.1451,0.5271,83.5709,0.3713,0.1964,44.6313
