image_name,psnr,ssim,niqe,lpips,dists,topiq,laplacian_var,clipiqa,maniqa,musiq
Nikon_038,25.1982,0.6902,6.0278,0.3758,0.1981,0.4591,68.5639,0.4694,0.1649,50.3206
Nikon_004,27.0037,0.8911,4.9421,0.1344,0.0674,0.6071,292.7178,0.6435,0.3790,64.6384
Nikon_010,26.1314,0.8532,3.7810,0.1694,0.1260,0.4803,413.4961,0.6520,0.3842,62.9566
Nikon_011,28.8022,0.9092,5.8218,0.1236,0.0883,0.6182,226.6173,0.7012,0.3787,64.3675
Nikon_005,25.1030,0.7188,4.6724,0.2460,0.1327,0.5886,127.8385,0.5903,0.3432,58.6618
Nikon_039,27.4339,0.8174,5.3511,0.1946,0.1053,0.5312,162.1984,0.6660,0.3951,73.0529
Nikon_013,21.8939,0.5861,7.0507,0.3764,0.2137,0.3916,56.2721,0.4194,0.2115,44.7628
Nikon_007,26.5918,0.8055,6.8902,0.2590,0.1571,0.4891,46.4400,0.5391,0.3024,53.0949
Nikon_006,24.2095,0.6942,5.3725,0.3398,0.1926,0.4177,39.9988,0.5130,0.2452,45.1782
Nikon_012,30.3142,0.8943,5.3610,0.1915,0.1429,0.5219,35.7203,0.4646,0.2050,57.4456
Nikon_016,27.6305,0.7185,4.9948,0.3573,0.2149,0.4376,42.7272,0.5679,0.3726,59.8014
Nikon_002,27.1067,0.8581,5.5438,0.1477,0.1091,0.4839,136.9630,0.6203,0.3026,51.4753
Nikon_003,24.8550,0.7567,4.5968,0.2799,0.1682,0.4713,190.5185,0.5182,0.2918,42.9210
Nikon_017,31.7495,0.9257,5.9379,0.1405,0.1267,0.5974,68.4730,0.6011,0.4176,61.4719
Nikon_001,25.3797,0.8992,5.9569,0.2477,0.1765,0.5288,254.4989,0.4513,0.2906,46.2580
Nikon_015,33.1742,0.8970,5.6244,0.1856,0.1129,0.6411,55.9195,0.6619,0.4006,53.6540
Nikon_029,26.9968,0.7754,7.3834,0.3460,0.2070,0.4525,53.6126,0.3528,0.1866,35.9641
Nikon_028,24.6034,0.5045,7.3440,0.4096,0.3204,0.4535,29.1175,0.4938,0.3112,43.7372
Nikon_014,25.0762,0.7159,4.2737,0.2416,0.1966,0.5323,159.9577,0.5768,0.3098,60.9517
Nikon_049,24.9707,0.6423,3.7720,0.3051,0.1535,0.4958,248.8593,0.7381,0.3588,64.1962
Nikon_048,26.0238,0.6959,4.0592,0.2601,0.1446,0.5270,137.6604,0.6433,0.2864,57.8943
Nikon_046,30.2037,0.8156,4.7819,0.2658,0.1873,0.5346,49.9801,0.5450,0.2505,58.5571
Nikon_047,27.6432,0.7176,4.5339,0.3596,0.1842,0.4870,49.2329,0.4489,0.2087,53.4932
Nikon_045,23.5690,0.5554,6.7141,0.4504,0.2636,0.3569,42.0631,0.3720,0.1916,36.8014
Nikon_044,26.9689,0.8033,4.5284,0.1829,0.1270,0.5506,231.4739,0.6728,0.4542,67.5440
